,match,nome-geografico,uc-entrada,uc-saida,name,nome-vide,lookup,nome-pai,vide_type,faculdade,match_type,match_error,match_obs
151354,,Lisboa,1651-10-30,1662-02-24,Domingos da Cunha Barreto,Cunha,Domingos da Cunha,,cut,Cânones,,False,W01-Single match (asymmetric) data
145044,152584,Cunha Alta,0000-00-00,0000-00-00,Domingos Dias de Amaral,Dias,Domingos Dias,,cut,,see-aka,False,
152584,145044,Cunha Alta,1578-10-06,1585-04-09,Domingos Dias,Amaral,Domingos Dias Amaral,Domingos Fernandes Cabral,add,Cânones,aka-see,False,
134996,152704,Oliveira do Conde,0000-00-00,0000-00-00,Domingos Dias de Figueiredo,Dias,Domingos Dias,,cut,,see-aka,False,
152704,134996,Oliveira do Conde,1577-10-01,1585-07-29,Domingos Dias,Figueiredo,Domingos Dias Figueiredo,Diogo Fernandes,add,Medicina,aka-see,False,
152954,152566,Coimbra,0000-00-00,0000-00-00,Domingos Dias da Fonseca,Dias,Domingos Dias,Domingos Fernandes,cut,,see-aka,False,
152566,152954,Coimbra,1666-10-01,1667-10-15,Domingos Dias,Fonseca,Domingos Dias Fonseca,,add,Medicina,aka-see,False,
139938,243681,Aveiro,0000-00-00,0000-00-00,Domingos Dias,Pinheiro,Domingos Dias Pinheiro,Manuel André,add,Cânones,see-aka,False,
243681,139938,Aveiro,1636-10-07,1643-10-20,Domingos Dias Pinheiro,Dias,Domingos Dias,Manuel André,cut,Cânones,aka-see,False,
165224,142901,Alpedrinha,0000-00-00,0000-00-00,Domingos de Elvas,Almeida,Domingos de Elvas Almeida,,add,,see-aka,False,
142901,165224,Alpedrinha,1677-10-01,1702-10-01,Domingos de Elvas de Almeida,Elvas,Domingos de Elvas,,cut,Leis,aka-see,False,
205004,166869,Penamacor,0000-00-00,0000-00-00,Domingos Esteves Toscano,Esteves,Domingos Esteves,Domingos Esteves Toscano,cut,Cânones,see-aka,False,
166869,205004,Penamacor,1607-10-13,1614-03-17,Domingos Esteves,Toscano,Domingos Esteves Toscano,Francisco Esteves,add,Cânones,aka-see,False,
193662,251948,Pinhel,0000-00-00,0000-00-00,Domingos Fernandes Coelho,Fernandes,Domingos Fernandes,,cut,,see-aka,False,
251948,193662,Pinhel,1675-10-01,1675-10-01,Domingos Fernandes,Coelho,Domingos Fernandes Coelho,,add,Medicina,aka-see,False,
200509,251904,Alpalhão ou Obelhão,0000-00-00,0000-00-00,Domingos Fernandes da Costa,Fernandes,Domingos Fernandes,,cut,,see-aka,False,
251904,200509,Alpalhão ou Obelhão,1642-10-15,1650-03-30,Domingos Fernandes,Costa,Domingos Fernandes Costa,,add,Cânones,aka-see,False,
206741,178531,Arouca,0000-00-00,0000-00-00,Domingos Gomes do Vale,Gomes,Domingos Gomes,,cut,,see-aka,False,
178531,206741,Arouca,1719-10-01,1727-06-10,Domingos Gomes,do Vale,Domingos Gomes do Vale,João Jorge,add,Cânones,aka-see,False,
179324,154443,Monção,1672-10-01,1679-07-06,Domingos Gonçalves,Carvalho,Domingos Gonçalves Carvalho,,add,Cânones,aka-aka,False,
154443,179324,Monção,1674-10-01,1679-07-06,Domingos Gonçalves de Carvalho,Gonçalves,Domingos Gonçalves,Pedro Gonçalves,cut,Cânones,aka-aka,False,
179339,240335,Touro,0000-00-00,0000-00-00,Domingos Gonçalves,de Moura,Domingos Gonçalves de Moura,,add,,see-aka,False,
240335,179339,Touro,1688-10-01,1694-10-01,Domingos Gonçalves de Moura,Gonçalves,Domingos Gonçalves,,cut,Cânones,aka-see,False,
227865,212293,Castanheira,0000-00-00,0000-00-00,Domingos de Lemos Rosa,Lemos,Domingos de Lemos,,cut,,see-aka,False,
212293,227865,Castanheira,1587-10-26,1588-06-14,Domingos Lemos,Rosa,Domingos Lemos Rosa,Diogo Martins,add,Cânones,aka-see,False,
245385,254171,Porto,0000-00-00,0000-00-00,Domingos Lourenço da Costa Ferreira,Lourenço,Domingos Lourenço,,cut,,see-aka,False,
254171,245385,Porto,1720-10-01,1727-06-20,Domingos Lourenço,da Costa Ferreira,Domingos Lourenço da Costa Ferreira,João Lourenço,add,Cânones,aka-see,False,
177796,184419,Idanha-a-Nova,1658-10-15,1666-05-07,Domingos Marques Giraldes,Giraldes,Domingos Marques Giraldes,,cut,Cânones,aka-see,False,W01-Single match (asymmetric) data
184419,,Idanha-a-Nova,0000-00-00,0000-00-00,Domingos Marques,Giraldes,Domingos Marques Giraldes,,add,,,False,W01-Single match (asymmetric) data
173601,140270,Castelo de Vide,0000-00-00,0000-00-00,Domingos de Meira,Carrilho,Domingos de Meira Carrilho,,add,Cânones,see-aka,False,
140270,173601,Castelo de Vide,1650-01-26,1659-07-24,Domingos de Meira Carrilho,Meira,Domingos de Meira,,cut,Cânones,aka-see,False,
200605,171210,Mafra,0000-00-00,0000-00-00,Domingos Nogueira da Costa,Nogueira,Domingos Nogueira,António Nogueira Araújo,cut,Leis,see-aka,False,
171210,200605,Mafra,1653-10-15,1658-11-08,Domingos Nogueira,Costa,Domingos Nogueira Costa,António Nogueira de Araújo,add,Leis,aka-see,False,
174990,187851,Turcifal,0000-00-00,0000-00-00,Domingos de Oliveira,Henriques,Domingos de Oliveira Henriques,,add,Cânones,see-aka,False,
187851,174990,Turcifal,1654-10-07,1660-07-24,Domingos de Oliveira Henriques,Oliveira,Domingos de Oliveira,,cut,Cânones,aka-see,False,
167106,220761,Pias,0000-00-00,0000-00-00,Domingos Padrão de Freitas,Padrão,Domingos Padrão,,cut,,see-aka,False,
220761,167106,Pias,1604-10-09,1613-10-15,Domingos Padrão,Freitas,Domingos Padrão Freitas,Francisco Martins,add,Cânones,aka-see,False,
182723,224592,Amarante,0000-00-00,0000-00-00,Domingos Peixoto de Magalhães,Peixoto,Domingos Peixoto,António Fernandes,cut,Cânones,see-aka,False,
224592,182723,Amarante,1585-10-02,1592-03-18,Domingos Peixoto,Magalhães,Domingos Peixoto Magalhães,António Fernandes Magalhães,add,Cânones,aka-see,False,
163385,233300,Monte Real,0000-00-00,0000-00-00,Domingos Pereira Franco,Pereira,Domingos Pereira,Pedro João,cut,Teologia,see-aka,False,
233300,163385,Monte Real,1665-12-28,1673-05-12,Domingos Pereira,Franco,Domingos Pereira Franco,Pedro João,add,Teologia,aka-see,False,
176963,233265,Campo Maior,0000-00-00,0000-00-00,Domingos Pereira da Gama,Pereira,Domingos Pereira,,cut,,see-aka,False,
233265,176963,Campo Maior,1681-03-28,1686-06-01,Domingos Pereira,da Gama,Domingos Pereira da Gama,,add,Medicina,aka-see,False,
226111,233334,Vila Viçosa,0000-00-00,0000-00-00,Domingos Pereira da Silva,Pereira,Domingos Pereira,Francisco Pereira,cut,Cânones,see-aka,False,
233334,226111,Vila Viçosa,1630-10-16,1637-05-04,Domingos Pereira,Silva,Domingos Pereira Silva,Franisco Pereira,add,Cânones,aka-see,False,
233334,226111,Vila Viçosa,1630-10-16,1637-05-04,Domingos Pereira,Silva,Domingos Pereira Silva,Franisco Pereira,add,Leis,aka-see,False,
241943,199980,Valdigem,0000-00-00,0000-00-00,Domingos Pimentel,Teixeira,Domingos Pimentel Teixeira,,add,,see-aka,False,
199980,241943,Valdigem,1662-10-30,1670-05-08,Domingos Pimentel Teixeira,Pimentel,Domingos Pimentel,Gaspar Rebelo Teixeira,cut,Cânones,aka-see,False,
197540,181300,Unhós,0000-00-00,0000-00-00,Domingos Rodrigues,Macedo,Domingos Rodrigues Macedo,,add,,see-aka,False,
181300,197540,Unhós,1602-10-07,1611-06-17,Domingos Rodrigues de Macedo,Rodrigues,Domingos Rodrigues,Belchior Rodrigues,cut,Cânones,aka-see,False,
226585,223837,Sebal,0000-00-00,0000-00-00,Domingos Rolim,Pedrosa,Domingos Rolim Pedrosa,,add,,see-aka,False,
223837,226585,Sebal,1693-10-01,1695-10-01,Domingos Rolim Pedrosa,Rolim,Domingos Rolim,,cut,Cânones,aka-see,False,
207706,215770,Oeiras,0000-00-00,0000-00-00,Domingos Vicente Valente,Vicente,Domingos Vicente,,cut,,see-aka,False,
215770,207706,Oeiras,1597-10-13,1604-02-24,Domingos Vicente,Valente,Domingos Vicente Valente,Domingos Vicente,add,Leis,aka-see,False,
196054,205661,Torres Novas,0000-00-00,0000-00-00,Domingos Zuzarte,Coutinho,Domingos Zuzarte Coutinho,,add,,see-aka,False,
205661,196054,Torres Novas,1684-01-17,1687-10-01,Domingos Zuzarte Coutinho,Zuzarte,Domingos Zuzarte,,cut,Cânones,aka-see,False,
144356,210064,Montalegre,0000-00-00,0000-00-00,Domingos Álvares,Leite,Domingos Álvares Leite,,add,,see-aka,False,
210064,144356,Montalegre,1573-10-16,1581-10-18,Domingos Álvares Leite,Álvares,Domingos Álvares,António Magalhaes,cut,Cânones,aka-see,False,
265956,140697,Cadaval,0000-00-00,0000-00-00,Duarte Alves,Abreu,Duarte Alves Abreu,Baltasar Alves,add,Leis,see-aka,False,
140697,265956,Cadaval,1616-10-14,1630-10-01,Duarte Alves de Abreu,Alves,Duarte Alves,Baltasar Alves,cut,Leis,aka-see,False,
177937,161582,Claros,0000-00-00,0000-00-00,Duarte Godinho,Ribeiro,Duarte Godinho Ribeiro,,add,,see-aka,False,
161582,177937,Claros,1691-10-01,1697-10-01,Duarte Godinho Ribeiro,Godinho,Duarte Godinho,,cut,Cânones,aka-see,False,
241260,202884,Loulé,0000-00-00,0000-00-00,Duarte Lopes,Leitão,Duarte Lopes Leitão,Fernão Martins,add,Medicina,see-aka,False,
202884,241260,Loulé,1624-03-19,1624-05-25,Duarte Lopes Leitão,Lopes,Duarte Lopes,Fernão Martins,cut,Medicina,aka-see,False,
241253,227941,Beja,0000-00-00,0000-00-00,Duarte Lopes,Rosa,Duarte Lopes Rosa,,add,,see-aka,False,
227941,241253,Beja,1662-10-01,1669-06-10,Duarte Lopes da Rosa,Lopes,Duarte Lopes,João Alves,cut,Medicina,aka-see,False,
174871,135032,Gouveia,0000-00-00,0000-00-00,Duarte de Melo,Figueiredo,Duarte de Melo Figueiredo,,add,,see-aka,False,
135032,174871,Gouveia,1676-03-10,1682-10-01,Duarte de Melo e Figueiredo,Melo,Duarte de Melo,,cut,Cânones,aka-see,False,
181303,161533,Lisboa,0000-00-00,0000-00-00,Duarte Ribeiro de Macedo,Ribeiro,Duarte Ribeiro,,cut,,see-aka,False,
161533,181303,Lisboa,1644-10-01,1647-05-13,Duarte Ribeiro,Macedo,Duarte Ribeiro Macedo,Jerónimo Ribeiro,add,Cânones,aka-see,False,
161533,181303,Lisboa,1644-10-01,1647-05-13,Duarte Ribeiro,Macedo,Duarte Ribeiro Macedo,Jerónimo Ribeiro,add,Leis,aka-see,False,
196885,211692,Coimbra,0000-00-00,0000-00-00,Duarte de Sá Correia,Sá,Duarte de Sá,,cut,,see-aka,False,
211692,196885,Coimbra,1579-10-11,1587-10-01,Duarte de Sá,Correia,Duarte de Sá Correia,Jorge de Sá,add,Leis,aka-see,False,
174875,205147,Lisboa,0000-00-00,0000-00-00,Duarte de Tovar e Melo,Tovar,Duarte de Tovar,,cut,,see-aka,False,
205147,174875,Lisboa,1658-10-23,1665-03-18,Duarte de Tovar,e Melo,Duarte de Tovar e Melo,Jerónimo de Tovar,add,Leis,aka-see,False,
212107,193237,Atouguia,0000-00-00,0000-00-00,Duarte Vaz,Horta,Duarte Vaz Horta,Francisco de Horta,add,,see-aka,False,
193237,212107,Atouguia,1628-10-15,1639-10-23,Duarte Vaz de Horta,Vaz,Duarte Vaz,Francisco de Horta,cut,Leis,aka-see,False,
146777,243742,Ourém,0000-00-00,0000-00-00,Dâmaso António,Mota Ferraz,Dâmaso António Mota Ferraz,,add,,see-aka,False,
243742,146777,Ourém,1737-10-01,1743-10-01,Dâmaso António da Mota Ferraz,Dâmaso António,Dâmaso António,,cut,Cânones,aka-see,False,
187584,219451,Lisboa,0000-00-00,0000-00-00,Estanislau José dos Santos Brandão,Estanislau José dos Santos,Estanislau José dos Santos,,cut,Cursos jurídicos (Cânones ou Leis),see-aka,False,
219451,187584,Lisboa,1756-01-22,1761-10-01,Estanislau José dos Santos,Estanislau José dos Santos Brandão,Estanislau José dos Santos Brandão,,rep,Cânones,aka-see,False,
236147,236150,Braga,0000-00-00,0000-00-00,Estevão Barreto de Magalhães e Menezes,Estevão de Magalhães e Menezes,Estevão de Magalhães e Menezes,,rep,,see-aka,False,
236150,236147,Braga,1738-10-01,1740-10-01,Estevão de Magalhães e Menezes,Estevão Barreto de Magalhães e Menezes,Estevão Barreto de Magalhães e Menezes,,rep,Cânones,aka-see,False,
230444,133510,Vila Viçosa,0000-00-00,0000-00-00,Estevão Cardoso da Silveira,Cardoso,Estevão Cardoso,,cut,,see-aka,False,
133510,230444,Vila Viçosa,1615-10-02,1623-05-24,Estevão Cardoso,da Silveira,Estevão Cardoso da Silveira,,add,Leis,aka-see,False,
152876,233458,Cascais,0000-00-00,0000-00-00,Estevão Dias,Pereira,Estevão Dias Pereira,,add,,see-aka,False,
233458,152876,Cascais,1619-10-24,1623-10-03,Estevão Dias Pereira,Dias,Estevão Dias,Álvaro Pereira,cut,Cânones,aka-see,False,
139109,233459,Lisboa,0000-00-00,0000-00-00,Estevão de Foios,Pereira,Estevão de Foios Pereira,Mendo de Foios Pereira,add,,see-aka,False,
233459,139109,Lisboa,1673-10-01,1684-01-31,Estevão de Foios Pereira,Foios,Estevão de Foios,Mendo de Foios Pereira,cut,Cânones,aka-see,False,
173786,203251,Lisboa,0000-00-00,0000-00-00,Estevão Leitão de Meireles,Leitão,Estevão Leitão,,cut,,see-aka,False,
203251,173786,Lisboa,1605-11-23,1612-03-30,Estevão Leitão,Meireles,Estevão Leitão Meireles,Luís Leitão de Meireles,add,Leis,aka-see,False,
248592,181801,Guimarães,0000-00-00,0000-00-00,Estevão Machado de Miranda,Machado,Estevão Machado,,cut,,see-aka,False,
181801,248592,Guimarães,1619-10-19,1637-10-15,Estevão Machado,de Miranda,Estevão Machado de Miranda,Pedro Machado,add,Cânones,aka-see,False,
181801,248592,Guimarães,1619-10-19,1637-10-15,Estevão Machado,de Miranda,Estevão Machado de Miranda,Pedro Machado,add,Leis,aka-see,False,
200656,252601,Viseu,0000-00-00,0000-00-00,Estevão Monteiro da Costa,Monteiro,Estevão Monteiro,,cut,,see-aka,False,
252601,200656,Viseu,1598-10-12,1605-06-16,Estevão Monteiro,Costa,Estevão Monteiro Costa,Diogo Alves Cardoso,add,Cânones,aka-see,False,
151730,172968,Santarém,0000-00-00,0000-00-00,Estevão Nunes de Barros,Nunes,Estevão Nunes,João Antunes,cut,Cânones,see-aka,False,
172968,151730,Santarém,1651-10-14,1658-07-16,Estevão Nunes,Barros,Estevão Nunes Barros,,add,Cânones,aka-see,False,
172968,151730,Santarém,1651-10-14,1658-07-16,Estevão Nunes,Barros,Estevão Nunes Barros,,add,Leis,aka-see,False,
245452,142978,Portalegre,0000-00-00,0000-00-00,Estevão Pedro de Almeida Mexia,Almeida,Estevão Pedro de Almeida,,cut,,see-aka,False,
142978,245452,Portalegre,1770-10-01,1772-11-06,Estevão Pedro de Almeida,Mexia,Estevão Pedro de Almeida Mexia,,add,Matemática,aka-see,False,
237320,246486,Faro,0000-00-00,0000-00-00,Estevão Pinto de Sousa,Pinto,Estevão Pinto,Leonardo de Sousa,cut,Leis,see-aka,False,
246486,237320,Faro,1614-10-08,1622-06-08,Estevão Pinto,Sousa,Estevão Pinto Sousa,Leonardo de Sousa,add,Leis,aka-see,False,
198159,175063,Évora,0000-00-00,0000-00-00,Estevão Rodrigues,Oliveira,Estevão Rodrigues Oliveira,Francisco Rodrigues,add,Leis,see-aka,False,
175063,198159,Évora,1641-10-14,1648-10-23,Estevão Rodrigues de Oliveira,Rodrigues,Estevão Rodrigues,Francisco Rodrigues,cut,Leis,aka-see,False,
203427,198284,Lisboa,0000-00-00,0000-00-00,Estevão Rodrigues Toar,Estevão Rodrigues,Estevão Rodrigues,,cut,,see-aka,False,
198284,203427,Lisboa,1595-10-01,1601-05-23,Estevão Rodrigues,Toar,Estevão Rodrigues Toar,Manuel Fernandes,add,Teologia,aka-see,False,
232052,223889,Setúbal,0000-00-00,0000-00-00,Estevão Soares,Serrão,Estevão Soares Serrão,,add,,see-aka,False,
223889,232052,Setúbal,1678-10-01,1681-10-01,Estevão Soares Serrão,Soares,Estevão Soares,,cut,Medicina,aka-see,False,
242354,151732,Braga,0000-00-00,0000-00-00,Faustino Lopes,Barros,Faustino Lopes Barros,,add,,see-aka,False,
151732,242354,Braga,1666-11-22,1673-07-27,Faustino Lopes de Barros,Lopes,Faustino Lopes,Domingos Lopes de Barros,cut,Cânones,aka-see,False,
154577,140409,Guardão,0000-00-00,0000-00-00,Feliciano de Carvalho,Abranches,Feliciano de Carvalho Abranches,Feliciano de Carvalho,add,,see-aka,False,
140409,154577,Guardão,1669-10-17,1677-06-21,Feliciano de Carvalho Abranches,Carvalho,Feliciano de Carvalho,Feliciano de Carvalho,cut,Cânones,aka-see,False,
193699,218062,,0000-00-00,0000-00-00,Feliciano Coelho,Feliciano de São Bernardo,Feliciano de São Bernardo,,rep,,see-aka,False,
218062,193699,,1614-05-13,1618-04-02,Feliciano de São Bernardo,Feliciano Coelho,Feliciano Coelho,,rep,Teologia,aka-see,False,
197196,186761,Leiria,0000-00-00,0000-00-00,Felix António Botelho Larnim,Botelho,Felix António Botelho,,cut,,see-aka,False,
186761,197196,Leiria,1762-12-15,1763-10-01,Felix António Botelho,Larnim,Felix António Botelho Larnim,,add,Cânones,aka-see,False,
208001,146781,Lisboa,0000-00-00,0000-00-00,Felix António de Valois,António,Felix António,,cut,,see-aka,False,
146781,208001,Lisboa,1732-10-01,1739-07-21,Felix António,Valois,Felix António Valois,António Rodrigues dos Santos,add,Cânones,aka-see,False,
133522,200716,Baía,0000-00-00,0000-00-00,Felix Manuel da Costa Cardoso,Costa,Felix Manuel da Costa,,cut,,see-aka,False,
200716,133522,Baía,1707-11-08,1711-12-06,Felix Manuel da Costa,Cardoso,Felix Manuel da Costa Cardoso,,add,Cânones,aka-see,False,
161652,195508,Braga,0000-00-00,0000-00-00,Felix Ribeiro,Lago,Felix Ribeiro Lago,Manuel Ribeiro,add,Cânones,see-aka,False,
195508,161652,Braga,1634-10-01,1647-10-15,Felix Ribeiro do Lago,Ribeiro,Felix Ribeiro,Manuel Ribeiro,cut,Cânones,aka-see,False,
195508,161652,Braga,1634-10-01,1647-10-15,Felix Ribeiro do Lago,Ribeiro,Felix Ribeiro,Manuel Ribeiro,cut,Leis,aka-see,False,
208000,218267,,0000-00-00,0000-00-00,Felix de Valois,Santo Elias,Felix de Valois Santo Elias,,add,,see-aka,False,
218267,208000,,1740-10-01,1749-10-01,Felix de Valois e Santo Elias,Valois,Felix de Valois,,cut,Teologia,aka-see,False,
178586,171247,Cavaleiros,0000-00-00,0000-00-00,Fernando Gomes,Fernando Gomes Nogueira,Fernando Gomes Nogueira,,rep,,see-aka,False,
171247,178586,Cavaleiros,1752-10-27,1754-10-01,Fernando Gomes Nogueira,Fernando Gomes,Fernando Gomes,,cut,Cânones,aka-see,False,
134269,192257,Beja,0000-00-00,0000-00-00,Fernão Cerveira Raposo,Cerveira,Fernão Cerveira,,cut,,see-see,False,
192257,134269,Beja,0000-00-00,1556-05-26,Fernão Cerveira,Raposo,Fernão Cerveira Raposo,,add,Leis,see-see,False,
196936,194397,Lisboa,0000-00-00,0000-00-00,Fernão Correia,Lacerda,Fernão Correia Lacerda,,add,,see-aka,False,
194397,196936,Lisboa,1654-03-03,1654-07-05,Fernão Correia de Lacerda,Correia,Fernão Correia,,cut,Cânones,aka-see,False,
243711,,Lisboa,0000-00-00,0000-00-00,Fernão Dias Pinheiro,Dias,Fernão Dias,,cut,,,True,E04-Ambiguity in match data
152894,,Lisboa,1637-10-06,1648-10-28,Fernão Dias,Pinheiro,Fernão Dias Pinheiro,Guilherme Dias,add,Cânones,,True,E04-Ambiguity in match data
152890,,Lisboa,1641-10-15,1651-11-22,Fernão Dias,Pinheiro,Fernão Dias Pinheiro,Francisco da Cunha,add,Leis,,True,E04-Ambiguity in match data
201390,218782,Ceira,0000-00-00,0000-00-00,Fernão Ledo,Vila Lobos,Fernão Ledo Vila Lobos,,add,,see-aka,False,
218782,201390,Ceira,1553-07-10,1556-01-19,Fernão Ledo de Vila Lobos,Ledo,Fernão Ledo,,cut,Teologia,aka-see,False,
149895,242623,Trancoso,0000-00-00,0000-00-00,Fernão Lopes Balborda,Lopes,Fernão Lopes,,cut,,see-aka,False,
242623,149895,Trancoso,1651-10-10,1657-05-15,Fernão Lopes,Balborda,Fernão Lopes Balborda,,add,Medicina,aka-see,False,
221075,182738,Torres Novas,0000-00-00,0000-00-00,Fernão Pais,Magalhães,Fernão Pais Magalhães,Francisco de Magalhães,add,Leis,see-aka,False,
182738,221075,Torres Novas,1589-10-01,1597-11-14,Fernão Pais de Magalhães,Pais,Fernão Pais,Francisco de Magalhães,cut,Leis,aka-see,False,
190606,248991,Elvas,1586-10-01,1591-05-13,Fernão Pires de Castro,Pires,Fernão Pires,Fernão Pires,cut,Teologia,aka-aka,False,
248991,190606,Elvas,1588-10-01,1588-10-01,Fernão Pires,Castro,Fernão Pires Castro,Fernão Pires,add,Teologia,aka-aka,False,
149211,134971,Guimarães,0000-00-00,0000-00-00,Fernão Rebelo de Azevedo,Rebelo,Fernão Rebelo,,cut,,see-aka,False,
134971,149211,Guimarães,1576-10-26,1583-12-04,Fernão Rebelo,Azevedo,Fernão Rebelo Azevedo,Gonçalo Rebelo,add,Cânones,aka-see,False,
198379,133530,Lisboa,0000-00-00,0000-00-00,Fernão Rodrigues,Cardoso,Fernão Rodrigues Cardoso,,add,,see-aka,False,
133530,198379,Lisboa,1565-02-01,1573-06-04,Fernão Rodrigues Cardoso,Rodrigues,Fernão Rodrigues,,cut,Medicina,aka-see,False,
198380,233348,Lisboa,0000-00-00,0000-00-00,Fernão Rodrigues,Lobo,Fernão Rodrigues Lobo,,add,,see-aka,False,
233348,198380,Lisboa,1578-10-03,1585-03-28,Fernão Rodrigues Lobo,Rodrigues,Fernão Rodrigues,Manuel Álvares,cut,Leis,aka-see,False,
248640,198460,Lisboa,0000-00-00,0000-00-00,Fernão Rodrigues de Miranda,Rodrigues,Fernão Rodrigues,Filipe Tomás,cut,Cânones,see-aka,False,
198460,248640,Lisboa,1608-11-16,1613-05-06,Fernão Rodrigues,Miranda,Fernão Rodrigues Miranda,Filipe Tomás,add,Cânones,aka-see,False,
232073,212495,Fronteira,1624-03-26,1624-03-26,Fernão Soares,Lemos,Fernão Soares Lemos,,add,Artes,aka-aka,False,
212495,232073,Fronteira,1624-03-26,1624-03-27,Fernão Soares de Lemos,Soares,Fernão Soares,,cut,Medicina,aka-aka,False,
152812,233664,Lisboa,0000-00-00,0000-00-00,Fernão Solis da Fonseca,Solis,Fernão Solis,,cut,,see-aka,False,
233664,152812,Lisboa,1578-03-01,1584-06-16,Fernão Solis,Fonseca,Fernão Solis Fonseca,Duarte Solis,add,Medicina,aka-see,False,
202622,144388, Constância,0000-00-00,0000-00-00,Fernão de Álvares Temudo,Álvares,Fernão de Álvares,,cut,,see-aka,False,
144388,202622, Constância,1573-11-13,1580-07-01,Fernão de Álvares,Temudo,Fernão de Álvares Temudo,Pantaleão Rosado,add,Cânones,aka-see,False,
202622,144388,Punhete,0000-00-00,0000-00-00,Fernão de Álvares Temudo,Álvares,Fernão de Álvares,,cut,,see-aka,False,
144388,202622,Punhete,1573-11-13,1580-07-01,Fernão de Álvares,Temudo,Fernão de Álvares Temudo,Pantaleão Rosado,add,Cânones,aka-see,False,
186557,187936,Évora,0000-00-00,0000-00-00,Filipe Botaca,Henriques,Filipe Botaca Henriques,,add,,see-aka,False,
187936,186557,Évora,1585-10-02,1591-07-01,Filipe Botaca Henriques,Botaca,Filipe Botaca,Ataõ Botaca,cut,Leis,aka-see,False,
142951,186773,Celorico,0000-00-00,0000-00-00,Filipe Botelho de Almeida,Botelho,Filipe Botelho,,cut,Cânones,see-aka,False,
186773,142951,Celorico,1657-10-29,1662-06-19,Filipe Botelho,Almeida,Filipe Botelho Almeida,,add,Cânones,aka-see,False,
196141,196138,Ranhados,0000-00-00,0000-00-00,Filipe Jorge Cordeiro,Filipe Cordeiro,Filipe Cordeiro,,rep,,see-aka,False,
196138,196141,Ranhados,1603-10-01,1612-10-13,Filipe Cordeiro,Filipe Jorge Cordeiro,Filipe Jorge Cordeiro,Jorge Francisco,rep,Teologia,aka-see,False,
152899,182361,Anceriz,0000-00-00,0000-00-00,Filipe Dias,Madeira,Filipe Dias Madeira,,add,Cânones,see-aka,False,
182361,152899,Anceriz,1657-10-22,1665-06-11,Filipe Dias Madeira,Dias,Filipe Dias,Aleixo Afonso,cut,Cânones,aka-see,False,
226313,234343,Porto,0000-00-00,0000-00-00,Filipe da Silva,Pereira,Filipe da Silva Pereira,,add,,see-aka,False,
234343,226313,Porto,1680-10-01,1688-10-15,Filipe da Silva Pereira,Silva,Filipe da Silva,,cut,Cânones,aka-see,False,
237397,205016,Penamacor,0000-00-00,0000-00-00,Filipe Toscano de Sousa,Toscano,Filipe Toscano,,cut,,see-aka,False,
205016,237397,Penamacor,1619-10-25,1622-12-09,Filipe Toscano,de Sousa,Filipe Toscano de Sousa,Luís Toscano,add,Cânones,aka-see,False,
140046,212150,Castelo Branco,0000-00-00,0000-00-00,Filipe Vaz Carrasco,Vaz,Filipe Vaz,Pedro Vaz,cut,,see-aka,False,
212150,140046,Castelo Branco,1587-10-18,1592-10-17,Filipe Vaz,Carrasco,Filipe Vaz Carrasco,Pedro Vaz,add,Cânones,aka-see,False,
233982,220035,Ilha da Madeira,0000-00-00,0000-00-00,Filipe Vogado Soutomaior,Vogado,Filipe Vogado,,cut,,see-aka,False,
220035,233982,Ilha da Madeira,1624-10-14,1630-07-22,Filipe Vogado,Soutomaior,Filipe Vogado Soutomaior,Manuel Vogado,add,Cânones,aka-see,False,
220035,233982,Ilha da Madeira,1624-10-14,1630-07-22,Filipe Vogado,Soutomaior,Filipe Vogado Soutomaior,Manuel Vogado,add,Leis,aka-see,False,
236433,167851,Viseu,0000-00-00,0000-00-00,Filipe Xavier de Nápoles e Menezes,Nápoles,Filipe Xavier de Nápoles,,cut,,see-aka,False,
167851,236433,Viseu,1749-10-01,1756-10-01,Filipe Xavier de Nápoles,Menezes,Filipe Xavier de Nápoles Menezes,,add,Cânones,aka-see,False,
182743,152821,Crato,0000-00-00,0000-00-00,Firmino José e Magalhães,Firmino José e Magalhães Cerqueira da Fonseca,Firmino José e Magalhães Cerqueira da Fonseca,,rep,,see-aka,False,
152821,182743,Crato,1753-11-01,1759-10-01,Firmino José e Magalhães Cerqueira da Fonseca,Firmino José de Magalhães,Firmino José de Magalhães,,rep,Leis,aka-see,False,
182743,152821,Pedrogão,0000-00-00,0000-00-00,Firmino José e Magalhães,Firmino José e Magalhães Cerqueira da Fonseca,Firmino José e Magalhães Cerqueira da Fonseca,,rep,,see-aka,False,
152821,182743,Pedrogão,1753-11-01,1759-10-01,Firmino José e Magalhães Cerqueira da Fonseca,Firmino José de Magalhães,Firmino José de Magalhães,,rep,Leis,aka-see,False,
242929,237404,Chaves,0000-00-00,0000-00-00,Fradique Lopes,de Sousa,Fradique Lopes de Sousa,Fradique Lopes,add,,see-aka,False,
237404,242929,Chaves,1631-11-15,1639-10-14,Fradique Lopes de Sousa,Lopes,Fradique Lopes,Fradique Lopes,cut,Leis,aka-see,False,
177947,140734,Portalegre,0000-00-00,0000-00-00,Francisco de Abreu Godinho,Abreu,Francisco de Abreu,,cut,,see-aka,False,
140734,177947,Portalegre,1650-10-14,1655-11-23,Francisco de Abreu,Godinho,Francisco de Abreu Godinho,Manuel Nunes de Abreu,add,Leis,aka-see,False,
