id,name,name_sp,nome-vide,vide_type,lookup,lookup_sp
225535,Afonso de Sá Pereira,Afonso Sá Pereira,Sá,cut,Afonso de Sá,Afonso Sá
147465,Afonso Tavares de Araújo,Afonso Tavares Araújo,Afonso de Araújo Tavares,rep,Afonso de Araújo Tavares,Afonso Araújo Tavares
199294,Afonso Teixeira,Afonso Teixeira,Mendonça e Azevedo,add,Afonso Teixeira Mendonça e Azevedo,Afonso Teixeira Mendonça Azevedo
199294,Afonso Teixeira,Afonso Teixeira,Mendonça e Azevedo,add,Afonso Teixeira Mendonça e Azevedo,Afonso Teixeira Mendonça Azevedo
148819,Afonso Teixeira de Azevedo,Afonso Teixeira Azevedo,Teixeira,cut,Afonso Teixeira,Afonso Teixeira
214149,Afonso Teixeira de Mendonça,Afonso Teixeira Mendonça,Teixeira,cut,Afonso Teixeira,Afonso Teixeira
201868,Afonso Teles,Afonso Teles,Menezes,add,Afonso Teles Menezes,Afonso Teles Menezes
234683,Afonso Teles de Menezes,Afonso Teles Menezes,Teles,cut,Afonso Teles,Afonso Teles
143866,Afonso Álvares,Afonso Álvares,Franco,add,Afonso Álvares Franco,Afonso Álvares Franco
163159,Afonso Álvares Franco,Afonso Álvares Franco,Álvares,cut,Afonso Álvares,Afonso Álvares
316331,Agostinho António de Sousa Brito Resende,Agostinho António Sousa Brito Resende,Soutomaior,add,Agostinho António de Sousa Brito Resende Soutomaior,Agostinho António Sousa Brito Resende Soutomaior
148028,Agostinho Armando,Agostinho Armando,Vasconcelos,add,Agostinho Armando Vasconcelos,Agostinho Armando Vasconcelos
234238,Agostinho Armando de Vasconcelos e Sousa,Agostinho Armando Vasconcelos Sousa,Agostinho Armando Vasconcelos,rep,Agostinho Armando Vasconcelos,Agostinho Armando Vasconcelos
148379,Agostinho de Atouguia,Agostinho Atouguia,Costa,add,Agostinho de Atouguia Costa,Agostinho Atouguia Costa
198999,Agostinho de Atouguia da Costa,Agostinho Atouguia Costa,Atouguia,cut,Agostinho de Atouguia,Agostinho Atouguia
148698,Agostinho do Avelar,Agostinho Avelar,Freire,add,Agostinho do Avelar Freire,Agostinho Avelar Freire
148698,Agostinho do Avelar,Agostinho Avelar,Freire,add,Agostinho do Avelar Freire,Agostinho Avelar Freire
164224,Agostinho do Avelar Freire,Agostinho Avelar Freire,do Avelar,cut,Agostinho do Avelar,Agostinho Avelar
251008,Agostinho Azevedo Monteiro,Agostinho Azevedo Monteiro,Azevedo,cut,Agostinho Azevedo,Agostinho Azevedo
150572,Agostinho Barbosa,Agostinho Barbosa,Ferreira,add,Agostinho Barbosa Ferreira,Agostinho Barbosa Ferreira
150572,Agostinho Barbosa,Agostinho Barbosa,Ferreira,add,Agostinho Barbosa Ferreira,Agostinho Barbosa Ferreira
244243,Agostinho Barbosa Ferreira,Agostinho Barbosa Ferreira,Barbosa,cut,Agostinho Barbosa,Agostinho Barbosa
185137,Agostinho Barreiros de Beja,Agostinho Barreiros Beja,Agostinho Barreiros de Oliveira,rep,Agostinho Barreiros de Oliveira,Agostinho Barreiros Oliveira
187458,Agostinho Brandão,Agostinho Brandão,Pinto,add,Agostinho Brandão Pinto,Agostinho Brandão Pinto
311392,Agostinho Cimbron Borges de Sousa,Agostinho Cimbron Borges Sousa,Agostinho Cimbron Borges do Canto,rep,Agostinho Cimbron Borges do Canto,Agostinho Cimbron Borges Canto
204927,Agostinho Couceiro,Agostinho Couceiro,Portugal,add,Agostinho Couceiro Portugal,Agostinho Couceiro Portugal
163734,Agostinho Duarte,Agostinho Duarte,Sabado,add,Agostinho Duarte Sabado,Agostinho Duarte Sabado
199298,Agostinho Duarte Teixeira,Agostinho Duarte Teixeira,Duarte,cut,Agostinho Duarte,Agostinho Duarte
244233,Agostinho Ferreira,Agostinho Ferreira,Rebelo,add,Agostinho Ferreira Rebelo,Agostinho Ferreira Rebelo
353577,Agostinho Ferreira da Cunha,Agostinho Ferreira Cunha,Ferreira,cut,Agostinho Ferreira,Agostinho Ferreira
134538,Agostinho Ferreira Rebelo,Agostinho Ferreira Rebelo,Ferreira,cut,Agostinho Ferreira,Agostinho Ferreira
286888,Agostinho Gomes Monteiro,Agostinho Gomes Monteiro,Agostinho Gomes do Santos,rep,Agostinho Gomes do Santos,Agostinho Gomes Santos
249536,Agostinho Gomes Pombo,Agostinho Gomes Pombo,Gomes dos Santos,add,Agostinho Gomes Pombo Gomes dos Santos,Agostinho Gomes Pombo Gomes Santos
179131,Agostinho Gonçalves,Agostinho Gonçalves,Pereira,add,Agostinho Gonçalves Pereira,Agostinho Gonçalves Pereira
225541,Agostinho Gonçalves Pereira,Agostinho Gonçalves Pereira,Gonçalves,cut,Agostinho Gonçalves,Agostinho Gonçalves
279227,Agostinho de Jesus Maria,Agostinho Jesus Maria,Agostinho de Jesus Maria José,rep,Agostinho de Jesus Maria José,Agostinho Jesus Maria José
152599,Agostinho José de Carvalho,Agostinho José Carvalho,Agostinho José de Figueiredo Carvalho e Oliveira,rep,Agostinho José de Figueiredo Carvalho e Oliveira,Agostinho José Figueiredo Carvalho Oliveira
294567,Agostinho José da Cunha,Agostinho José Cunha,Soares,add,Agostinho José da Cunha Soares,Agostinho José Cunha Soares
294567,Agostinho José da Cunha,Agostinho José Cunha,Soares,add,Agostinho José da Cunha Soares,Agostinho José Cunha Soares
311393,Agostinho José Ferreira e Sousa,Agostinho José Ferreira Sousa,Ferreira,cut,Agostinho José Ferreira,Agostinho José Ferreira
311393,Agostinho José Ferreira e Sousa,Agostinho José Ferreira Sousa,Ferreira,cut,Agostinho José Ferreira,Agostinho José Ferreira
288124,Agostinho José de Figueiredo Carvalho,Agostinho José Figueiredo Carvalho,Figueiredo,cut,Agostinho José de Figueiredo,Agostinho José Figueiredo
298040,"Agostinho José da Fonseca Pinto, vide, Fonseca","Agostinho José Fonseca Pinto, vide, Fonseca",,novid,"Agostinho José da Fonseca Pinto, vide, Fonseca","Agostinho José Fonseca Pinto, vide, Fonseca"
148835,Agostinho José Lobo de Azevedo,Agostinho José Lobo Azevedo,Pinho,add,Agostinho José Lobo de Azevedo Pinho,Agostinho José Lobo Azevedo Pinho
134542,Agostinho José Rebelo,Agostinho José Rebelo,Agostinho do Espírito Santo Rebelo,rep,Agostinho do Espírito Santo Rebelo,Agostinho Espírito Santo Rebelo
148836,Agostinho Lopes de Eiró e Azevedo,Agostinho Lopes Eiró Azevedo,Eiró,cut,Agostinho Lopes de Eiró,Agostinho Lopes Eiró
253938,Agostinho Loureiro,Agostinho Loureiro,de Aguiar,add,Agostinho Loureiro de Aguiar,Agostinho Loureiro Aguiar
141555,Agostinho de Loureiro de Aguiar,Agostinho Loureiro Aguiar,Loureiro,cut,Agostinho de Loureiro,Agostinho Loureiro
148837,Agostinho Lourenço de Azevedo,Agostinho Lourenço Azevedo,,novid,Agostinho Lourenço de Azevedo,Agostinho Lourenço Azevedo
183928,Agostinho Manuel,Agostinho Manuel,Agostinho Manuel de Sequeira,rep,Agostinho Manuel de Sequeira,Agostinho Manuel Sequeira
222335,Agostinho Manuel de Sequeira,Agostinho Manuel Sequeira,Agostinho Manuel,cut,Agostinho Manuel,Agostinho Manuel
225562,Agostinho Marques do Couto Pereira,Agostinho Marques Couto Pereira,Couto,cut,Agostinho Marques do Couto,Agostinho Marques Couto
251007,Agostinho Monteiro,Agostinho Monteiro,Belo,add,Agostinho Monteiro Belo,Agostinho Monteiro Belo
185242,Agostinho Monteiro Belo,Agostinho Monteiro Belo,Monteiro,cut,Agostinho Monteiro,Agostinho Monteiro
220849,Agostinho Pais,Agostinho Pais,de Gusmão,add,Agostinho Pais de Gusmão,Agostinho Pais Gusmão
181106,Agostinho Pais de Gusmão,Agostinho Pais Gusmão,Pais,cut,Agostinho Pais,Agostinho Pais
136836,Agostinho Reinaud,Agostinho Reinaud,Abensar,add,Agostinho Reinaud Abensar,Agostinho Reinaud Abensar
190719,Agostinho Rodrigues,Agostinho Rodrigues,Coelho,add,Agostinho Rodrigues Coelho,Agostinho Rodrigues Coelho
188208,Agostinho Rodrigues Coelho de Brito,Agostinho Rodrigues Coelho Brito,Rodrigues,cut,Agostinho Rodrigues,Agostinho Rodrigues
224158,Agostinho da Silva,Agostinho Silva,Henriques,add,Agostinho da Silva Henriques,Agostinho Silva Henriques
216647,Agostinho Vieira,Agostinho Vieira,Faria,add,Agostinho Vieira Faria,Agostinho Vieira Faria
242448,Agostinho Vieira de Faria,Agostinho Vieira Faria,Vieira,cut,Agostinho Vieira,Agostinho Vieira
196482,Aires Correia,Aires Correia,Baharem,add,Aires Correia Baharem,Aires Correia Baharem
149805,Aires Correia Baharém,Aires Correia Baharém,Correia,cut,Aires Correia,Aires Correia
247737,Aires Duarte de Miranda,Aires Duarte Miranda,José Aires de Miranda,rep,José Aires de Miranda,José Aires Miranda
248237,Aires Fernandes,Aires Fernandes,Freire,add,Aires Fernandes Freire,Aires Fernandes Freire
164227,Aires Fernandes Freire,Aires Fernandes Freire,,novid,Aires Fernandes Freire,Aires Fernandes Freire
224211,Aires Francisco de Proneça e Silva,Aires Francisco Proneça Silva,Proença,add,Aires Francisco de Proneça e Silva Proença,Aires Francisco Proneça Silva Proença
178249,Aires Gomes,Aires Gomes,Sá,add,Aires Gomes Sá,Aires Gomes Sá
211400,Aires Gomes de Sá,Aires Gomes Sá,Aires Mendes de Sá,rep,Aires Mendes de Sá,Aires Mendes Sá
211389,Aires Gomes de Sá,Aires Gomes Sá,Gomes,cut,Aires Gomes,Aires Gomes
211389,Aires Gomes de Sá,Aires Gomes Sá,Gomes,cut,Aires Gomes,Aires Gomes
211401,Aires Mendes de Sá,Aires Mendes Sá,Aires Gomes de Sá,rep,Aires Gomes de Sá,Aires Gomes Sá
311301,Albano Giraldes da Cunha Taborda Leitão Preto,Albano Giraldes Cunha Taborda Leitão Preto,Leitão,cut,Albano Giraldes da Cunha Taborda Leitão,Albano Giraldes Cunha Taborda Leitão
192844,Alberto Chremer,Alberto Chremer,Cremert,add,Alberto Chremer Cremert,Alberto Chremer Cremert
214345,Alberto da Cunha Sampaio,Alberto Cunha Sampaio,Valmar,add,Alberto da Cunha Sampaio Valmar,Alberto Cunha Sampaio Valmar
