place_name,geocoder,id,address,city,country,importance,class,type,latitude,longitude,distance
Alcochete,osm,5401733,"Alcochete, Setúbal, Portugal",Alcochete,Portugal,0.539448962716662,boundary,administrative,38.7560499,-8.9608437,167.57857798308976
Alcoentre,osm,6519454,"Alcoentre, Azambuja, Lisboa, Portugal",Azambuja,Portugal,0.4599999999999999,boundary,administrative,39.2078257,-8.9572359,119.96980866965042
Alcofra,osm,6166338,"Alcofra, Vouzela, Viseu, Portugal",Vouzela,Portugal,0.3950481715152184,boundary,administrative,40.6252803,-8.1818787,50.81597191133048
Alcongosta,osm,5318965,"Alcongosta, Fundão, Castelo Branco, Portugal",Fundão,Portugal,0.4268930617533198,boundary,administrative,40.1166567,-7.4822713,81.02692995200147
Alcouce,osm,3913196326,"Alcouce, Vila Seca e Bem da Fé, Condeixa-a-Nova, Coimbra, Portugal",Condeixa-a-Nova,Portugal,0.36,place,hamlet,40.112892,-8.4158955,10.531658956146437
Alcoutim,osm,5404218,"Alcoutim, Faro, PT-08, Portugal",Alcoutim,Portugal,0.5320589959875693,boundary,administrative,37.402329300000005,-7.669039394405186,318.26064182461624
Alcácer,osm,5401847,"Alcácer do Sal, Setúbal, Portugal",Alcácer do Sal,Portugal,0.5501118932829929,boundary,administrative,38.3659893,-8.531313383677643,204.6394021929688
Alcácer do Sal,osm,5401847,"Alcácer do Sal, Setúbal, Portugal",Alcácer do Sal,Portugal,0.750111893282993,boundary,administrative,38.3659893,-8.531313383677643,204.6394021929688
Alcáçovas,osm,6440046,"Alcáçovas, Viana do Alentejo, Évora, Portugal",Viana do Alentejo,Portugal,0.4136784669331538,boundary,administrative,38.3940999,-8.1533306,202.6862428997005
"Alcântara, Maranhão",osm,415524232,"Alcântara, Alcântara, Região Geográfica Imediata de São Luís, Região Geográfica Intermediária de São Luís, Maranhão, Região Nordeste, Brasil",Alcântara,Brasil,0.666698846968445,place,town,-2.4084996,-44.4174143,5972.922764643965
"Alcântara, Maranhão, Brasil",osm,415524232,"Alcântara, Alcântara, Região Geográfica Imediata de São Luís, Região Geográfica Intermediária de São Luís, Maranhão, Região Nordeste, Brasil",Alcântara,Brasil,0.7766988469684449,place,town,-2.4084996,-44.4174143,5972.922764643965
Aldeia Galega,osm,4359786175,"Aldeia Galega, Alenquer, Lisboa, Portugal",Alenquer,Portugal,0.475,place,village,39.0829886,-9.1117742,138.02289484603554
Aldeia Gavinha,osm,4359786176,"Aldeia Gavinha, Alenquer, Lisboa, Portugal",Alenquer,Portugal,0.475,place,village,39.0840838,-9.0951703,137.3105740113172
Aldeia Nova,osm,6372234,"Aldeia Nova, Trancoso, Guarda, Portugal",Trancoso,Portugal,0.55,boundary,administrative,40.7091514,-7.4314836,101.09222421291084
Aldeia Nova das Donas,osm,1180242645,"Donas, União do Grande Fundão, Fundão, Castelo Branco, Portugal",União do Grande Fundão,Portugal,0.4099978272098044,place,village,40.1306529,-7.4750917,81.44831826747361
Aldeia Nova do Cabo,osm,3334754029,"Aldeia Nova do Cabo, União do Grande Fundão, Fundão, Castelo Branco, Portugal",União do Grande Fundão,Portugal,0.675,place,village,40.1331959,-7.529372,76.81932031631733
Aldeia da Cruz,osm,6023459744,"Aldeia da Cruz, Figueiró dos Vinhos e Bairradas, Figueiró dos Vinhos, Leiria, Portugal",Figueiró dos Vinhos,Portugal,0.55,place,hamlet,39.9298838,-8.2822182,33.16813811823282
Aldeia da Mata,osm,6440204,"Aldeia da Mata, Crato, Portalegre, Portugal",Crato,Portugal,0.5523442792274319,boundary,administrative,39.3041734,-7.7296753,116.69739742776534
Aldeia da Ponte,osm,6364279,"Aldeia da Ponte, Sabugal, Guarda, Portugal",Sabugal,Portugal,0.6415213678433922,boundary,administrative,40.4145157,-6.8697975,134.2675893648167
Aldeia das Dez,osm,6553521,"Aldeia das Dez, Oliveira do Hospital, Coimbra, Portugal",Oliveira do Hospital,Portugal,0.6186693345312295,boundary,administrative,40.2947706,-7.8657308,48.64477908099683
Aldeia de João Pires,osm,440123963,"Aldeia de João Pires, Aldeia do Bispo, Águas e Aldeia de João Pires, Penamacor, Castelo Branco, Portugal","Aldeia do Bispo, Águas e Aldeia de João Pires",Portugal,0.675,place,village,40.1030603,-7.152706,109.10131477716877
Aldeia de Nogueira,osm,3066351309,"Aldeia de Irmãos, Azeitão, Setúbal, Setúbal, Portugal",Setúbal,Portugal,0.45,place,hamlet,38.5106569,-9.03002,195.43811446258525
Aldeia do Mato,osm,1933394007,"Aldeia do Mato, Abrantes, Santarém, Portugal",Abrantes,Portugal,0.5750000000000001,place,village,39.5431069,-8.2728369,74.91518123353511
Alenquer,osm,5400756,"Alenquer, Lisboa, Portugal",Alenquer,Portugal,0.5455758794052963,boundary,administrative,39.056633,-9.0076057,137.17806077404404
Alfandega da Fé,osm,5246326,"Alfândega da Fé, Bragança, Portugal",Alfândega da Fé,Portugal,0.6210696906472228,boundary,administrative,41.3419743,-6.9611439,176.5358623156567
Alfarelos,osm,6553743,"Alfarelos, Coimbra, Portugal",Alfarelos,Portugal,0.4040287400552381,boundary,administrative,40.1498521,-8.6533065,20.38769448446699
Alfeizerão,osm,6544457,"Alfeizerão, Alcobaça, Leiria, Portugal",Alcobaça,Portugal,0.4599999999999999,boundary,administrative,39.48832375,-9.100313578520815,98.51445415462332
Alfândega da Fé,osm,5246326,"Alfândega da Fé, Bragança, Portugal",Alfândega da Fé,Portugal,0.7210696906472229,boundary,administrative,41.3419743,-6.9611439,176.5358623156567
Algarve,osm,7635285,"Algarve, Alvorada, Alvorada, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, Brasil",Alvorada,Brasil,0.36,boundary,administrative,-30.0344297,-51.0790679,8937.030599139265
Algodres,osm,6384613,"Algodres, Vale de Afonsinho e Vilar de Amargo, Figueira de Castelo Rodrigo, Guarda, Portugal",Figueira de Castelo Rodrigo,Portugal,0.4599999999999999,boundary,administrative,40.937529,-7.035253668872958,142.9706483656343
Algoso,osm,1512524198,"Algoso, Vimioso, Bragança, Portugal",Vimioso,Portugal,0.385,place,village,41.470238,-6.575524,209.8089152225053
Algoz,osm,1160992703,"Algoz, Algoz e Tunes, Silves, Faro, PT-08, Portugal",Algoz e Tunes,Portugal,0.3838112565126803,place,town,37.1639299,-8.3026237,338.02707634006794
Alhadas,osm,6552934,"Alhadas, Figueira da Foz, Coimbra, Portugal",Figueira da Foz,Portugal,0.4095218989809717,boundary,administrative,40.1898767,-8.7838465,30.531078120050203
Alhandra,osm,1536421679,"Alhandra, Alhandra, São João dos Montes e Calhandriz, Vila Franca de Xira, Lisboa, Portugal","Alhandra, São João dos Montes e Calhandriz",Portugal,0.4220198789366733,place,town,38.9287073,-9.0077932,150.51490736806556
Alhos Vedros,osm,6444778,"Alhos Vedros, Setúbal, Portugal",Alhos Vedros,Portugal,0.489139026272805,boundary,administrative,38.6561131,-9.0246288,179.77705385472916
Alijó,osm,4204550,"Alijó, Vila Real, Portugal",Alijó,Portugal,0.5343074308132381,boundary,administrative,41.2768619,-7.4753795,143.3529932126841
Aljubarrota,osm,6544475,"Aljubarrota, Alcobaça, Leiria, Portugal",Alcobaça,Portugal,0.4340320544678041,boundary,administrative,39.5663818,-8.9305256,83.23624682859052
Aljustrel,osm,5403265,"Aljustrel, Beja, Portugal",Aljustrel,Portugal,0.5419509903862209,boundary,administrative,37.89032505,-8.196355048795365,258.002602236252
Almada,osm,25619073,"Almada, Almada, Setúbal, Portugal",Almada,Portugal,0.5938207168116162,place,city,38.6831302,-9.1576301,180.5697367840115
Almalaguês,osm,6386144,"Almalaguês, Coimbra, Coimbra, Portugal",Coimbra,Portugal,0.4599999999999999,boundary,administrative,40.1356646,-8.3916167,8.489111828506484
Almaça,osm,4271594433,"Almaça, Mortágua, Viseu, Portugal",Mortágua,Portugal,0.3569815592908572,place,village,40.3417562,-8.2177992,23.15320558333052
Almeida,osm,4127531,"Almeida, Guarda, Portugal",Almeida,Portugal,0.5548283560306343,boundary,administrative,40.7263333,-6.9067513,141.1418634418304
Almeidinha,osm,1893395910,"Almeidinha, Guarda, Guarda, Portugal",Guarda,Portugal,0.385,place,village,40.5981994,-7.1259412,118.58496173394428
Almeirim,osm,5400564,"Almeirim, Santarém, Portugal",Almeirim,Portugal,0.5409396794654167,boundary,administrative,39.16800295,-8.572597770930125,116.08832936350674
Almendra,osm,6393399,"Almendra, Vila Nova de Foz Coa, Guarda, Portugal",Almendra,Portugal,0.4179901826057103,boundary,administrative,41.0007794,-7.0561126,145.61350028220934
Almodôvar,osm,5403266,"Almodôvar, Beja, Portugal",Almodôvar,Portugal,0.5411093878774799,boundary,administrative,37.47508055,-8.070988093407168,304.8851670301117
Almofala,osm,6338918,"Almofala, Castro Daire, Viseu, Portugal",Castro Daire,Portugal,0.3932082617679252,boundary,administrative,40.9541684,-7.7933527,98.71774137737307
Almoster,osm,6544564,"Almoster, Alvaiázere, Leiria, Portugal",Alvaiázere,Portugal,0.4599999999999999,boundary,administrative,39.8433694,-8.4503903,40.47619211105189
Alpalhão,osm,6440332,"Alpalhão, Nisa, Portalegre, Portugal",Nisa,Portugal,0.3979976529248165,boundary,administrative,39.4175854,-7.6195614,111.6186737180974
"Alpalhão, Portalegre",osm,6440332,"Alpalhão, Nisa, Portalegre, Portugal",Nisa,Portugal,0.5079976529248165,boundary,administrative,39.4175854,-7.6195614,111.6186737180974
Alpedrinha,osm,5317916,"Alpedrinha, Fundão, Castelo Branco, Portugal",Fundão,Portugal,0.4401392645537533,boundary,administrative,40.0988978,-7.4678978,82.5174125955429
Alpedriz,osm,699179128,"Alpedriz, Alcobaça, Leiria, Portugal",Alcobaça,Portugal,0.385,place,village,39.62843,-8.9499301,78.35344915448259
Alqueidão,osm,6552935,"Alqueidão, Figueira da Foz, Coimbra, Portugal",Figueira da Foz,Portugal,0.4599999999999999,boundary,administrative,40.0971308,-8.7734572,32.03740654273868
Alqueidão da Serra,osm,6548201,"Alqueidão da Serra, Porto de Mós, Leiria, Portugal",Porto de Mós,Portugal,0.65,boundary,administrative,39.6160908,-8.7833112,72.41697646102706
Alquerubim,osm,6018070,"Alquerubim, Albergaria-a-Velha, Aveiro, Portugal",Albergaria-a-Velha,Portugal,0.3830818704926234,boundary,administrative,40.6211753,-8.5090385,46.48163488667437
Alter do Chão,osm,5397419,"Alter do Chão, Portalegre, Portugal",Alter do Chão,Portugal,0.7169455839873609,boundary,administrative,39.223624,-7.734862206115043,124.27035394202272
Alter-do-Chão,osm,5397419,"Alter do Chão, Portalegre, Portugal",Alter do Chão,Portugal,0.7169455839873609,boundary,administrative,39.223624,-7.734862206115043,124.27035394202272
Alvarelhos,osm,4006933072,"Alvarelhos, Alvarelhos e Guidões, Trofa, Porto, PT-13, Portugal",Alvarelhos e Guidões,Portugal,0.3672775033536223,place,village,41.3107904,-8.6115389,123.52567991927386
Alvares,osm,6553366,"Alvares, Góis, Coimbra, Portugal",Góis,Portugal,0.3735811942299699,boundary,administrative,40.0176126,-8.0994536,34.91741730570172
Alvarim,osm,1419945759,"Alvarim, Belazaima do Chão, Castanheira do Vouga e Agadão, Águeda, Aveiro, Portugal",Águeda,Portugal,0.36,place,hamlet,40.5407874,-8.3870688,37.16488689367987
Alvações do Corgo,osm,4203502,"Alvações do Corgo, Santa Marta de Penaguião, Vila Real, Portugal",Santa Marta de Penaguião,Portugal,0.5031303339921358,boundary,administrative,41.1969535,-7.7538234,123.70005916013888
Alvelos,osm,4054088,"Alvelos, Barcelos, Braga, Portugal",Barcelos,Portugal,0.4920271157566978,boundary,administrative,41.503997,-8.6213015,144.9245782039382
Alverca,osm,1297322484,"Alverca do Ribatejo, Vila Franca de Xira, Lisboa, Portugal",Alverca do Ribatejo,Portugal,0.4499999999999999,place,city,38.8935253,-9.0396136,155.1167202305281
Alvito,osm,5403267,"Alvito, Beja, Portugal",Alvito,Portugal,0.5335457436805966,boundary,administrative,38.255967,-7.9918028,219.8692827485609
Alvorge,osm,6544999,"Alvorge, Ansião, Leiria, Portugal",Ansião,Portugal,0.3845321115064417,boundary,administrative,39.9798987,-8.4555929,25.3890772252795
Amarante,osm,25613461,"Amarante, Amarante, Porto, PT-13, Portugal",Amarante,Portugal,0.5649396727309868,place,city,41.2699316,-8.0804563,121.54656009670012
Amares,osm,4168911,"Amares, Braga, Portugal",Amares,Portugal,0.5376828705495178,boundary,administrative,41.6309663,-8.3510599,158.21392833629238
Ameal,osm,3885081825,"Ameal, Coimbra, Coimbra, Portugal",Coimbra,Portugal,0.385,place,village,40.1894485,-8.5460811,10.41712597542483
Amial,osm,8312012193,"Amial, Oliveira do Douro, Cinfães, Viseu, Portugal",Oliveira do Douro,Portugal,0.36,place,hamlet,41.0674624,-8.0626342,100.3294685483948
Amieira,osm,1772621310,"Amieira, Oleiros e Amieira, Oleiros, Castelo Branco, Portugal",Oleiros e Amieira,Portugal,0.385,place,village,39.9808285,-7.9119449,50.54414252440976
Amoreira,osm,6365710,"Amoreira, Parada e Cabreira, Almeida, Guarda, Portugal",Almeida,Portugal,0.4599999999999999,boundary,administrative,40.5600097,-7.02954033151052,124.87383436923714
Anadia,osm,5325844,"Anadia, Aveiro, Portugal",Anadia,Portugal,0.4807902007541597,boundary,administrative,40.4426833,-8.4359581,26.13731925930955
Ancas,osm,1674726813,"Ancas, Anadia, Aveiro, Portugal",Anadia,Portugal,0.385,place,village,40.4653401,-8.5043251,29.40261723573328
Ancede,osm,3512884395,"Ancede, Ancede e Ribadouro, Baião, Porto, PT-13, Portugal",Ancede e Ribadouro,Portugal,0.41,place,town,41.1046709,-8.0614156,104.29853425336144
Anceriz,osm,1962280234,"Anseriz, Vila Cova de Alva e Anseriz, Arganil, Coimbra, Portugal",Vila Cova de Alva e Anseriz,Portugal,0.275,place,village,40.2777718,-7.9185215,43.88287991853751
Andorinha,osm,5032694832,"Andorinha, São Martinho de Árvore e Lamarosa, Coimbra, Coimbra, Portugal",Coimbra,Portugal,0.36,place,hamlet,40.2780472,-8.5703748,14.574389208088908
Angeja,osm,5392371,"Angeja, Albergaria-a-Velha, Aveiro, Portugal",Angeja,Portugal,0.4175723342298069,boundary,administrative,40.6786703,-8.5563816,53.48515790440158
Angola,osm,5418102,"Angola, Regional Centro, Betim, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil",Betim,Brasil,0.36,boundary,administrative,-19.9601244,-44.2020531,7624.11045860296
Angra,osm,7448382,"Angra do Heroísmo, Açores, Portugal",Angra do Heroísmo,Portugal,0.6061937186047013,boundary,administrative,38.6593167,-27.2195578,1624.0673308235075
Angra do Heroismo,osm,7448382,"Angra do Heroísmo, Açores, Portugal",Angra do Heroísmo,Portugal,0.7061937186047014,boundary,administrative,38.6593167,-27.2195578,1624.0673308235075
Angra do Heroísmo,osm,7448382,"Angra do Heroísmo, Açores, Portugal",Angra do Heroísmo,Portugal,0.8061937186047013,boundary,administrative,38.6593167,-27.2195578,1624.0673308235075
"Angra do Heroísmo, Açores",osm,7448382,"Angra do Heroísmo, Açores, Portugal",Angra do Heroísmo,Portugal,0.9161937186047012,boundary,administrative,38.6593167,-27.2195578,1624.0673308235075
Anobra,osm,4081478,"Anobra, Condeixa-a-Nova, Coimbra, Portugal",Condeixa-a-Nova,Portugal,0.3432286868188654,boundary,administrative,40.149042,-8.5274185,10.799581941774468
Anseriz,osm,1962280234,"Anseriz, Vila Cova de Alva e Anseriz, Arganil, Coimbra, Portugal",Vila Cova de Alva e Anseriz,Portugal,0.385,place,village,40.2777718,-7.9185215,43.88287991853751
Ansiães,osm,5830050,"Ansiāes, Amarante, Porto, PT-13, Portugal",Amarante,Portugal,0.35,boundary,administrative,41.2513575,-7.9570653,122.5089243788388
Ansião,osm,5399198,"Ansião, Leiria, Portugal",Ansião,Portugal,0.5259422436998735,boundary,administrative,39.9113771,-8.4359857,32.88260655302599
Anta,osm,4037024204,"Anta, Espinho, Aveiro, Portugal",Anta,Portugal,0.3700583840406884,place,town,41.007855,-8.6187792,90.36999721307524
Antanhol,osm,2870088859,"Antanhol, Coimbra, Coimbra, Portugal",Coimbra,Portugal,0.385,place,village,40.1680048,-8.4634886,5.4172748626782905
Antas,osm,1962018331,"Antas, Vila Nova de Famalicão, Braga, Portugal",Vila Nova de Famalicão,Portugal,0.436855406087553,place,village,41.4041901,-8.5087953,133.0847608167523
Antas de Penedono,osm,1196204542,"Antas, Penedono, Viseu, Portugal",Penedono,Portugal,0.495,place,village,40.9431397,-7.3879955,119.99599580492632
Antuzede,osm,3717402328,"Antuzede, Coimbra, Coimbra, Portugal",Coimbra,Portugal,0.385,place,village,40.2532801,-8.4765652,6.666769837209467
Ançã,osm,6549241,"Ançã, Cantanhede, Coimbra, Portugal",Ançã,Portugal,0.4118656186130232,boundary,administrative,40.2723549,-8.5191581,10.715498709913314
Arada,osm,2832748802,"Arada, Ovar, Aveiro, Portugal",Ovar,Portugal,0.3800748156090839,place,village,40.9152673,-8.5995458,79.96521335748905
Arazede,osm,6553452,"Arazede, Coimbra, Portugal",Arazede,Portugal,0.3968347429646153,boundary,administrative,40.2817583,-8.6520337,20.92901991288479
Arcos,osm,3789759875,"São Pedro d'Arcos, São Pedro d'Arcos, Ponte de Lima, Viana do Castelo, Portugal",São Pedro d'Arcos,Portugal,0.4335327307304576,place,village,41.7634894,-8.6557934,173.8853371875986
Arcos de Valdevez,osm,25278424,"Arcos de Valdevez, Arcos de Valdevez, Viana do Castelo, Portugal",Arcos de Valdevez,Portugal,0.7400343972100754,place,town,41.8471981,-8.417882,182.10570850769545
"Arcos, Anadia",osm,2502990573,"Arcos, Anadia, Aveiro, Portugal",Anadia,Portugal,0.5013117306116222,place,village,40.4482059,-8.4419809,26.771327265261792
"Arcos, Aveiro",osm,2502990573,"Arcos, Anadia, Aveiro, Portugal",Anadia,Portugal,0.5013117306116222,place,village,40.4482059,-8.4419809,26.771327265261792
