pop,date_in,date_max,name,name_normalized,id_ine_inspire,geonamesid,context_0,context_1,context_2,context_3,country,gaz_id_explicit,latitude,longitude,code,dsg,level,inside,address,geonames_name,gazetteer,total_score,date,wikidata_id
3,1778-10-16,1802-10-31,Panóias,Panóias,,8010918,Panóias,,,,Portugal,,37.78868,-8.31963,PRT.3.12.4_1,Panóias,3.0,PRT.3.12_1,"Panóias, Panóias, Ourique, Beja",Panóias,geonames-pt,15.0,2024-11-10 14:52:31.581001,Q1839838
3,1679-12-14,1903-10-03,Parada de Ester,Parada de Ester,,8014638,Parada de Ester,,,,Portugal,,40.94784,-8.05619,PRT.20.3.16_1,Parada de Ester,3.0,PRT.20.3_1,"Parada de Ester, Parada de Ester, Castro Daire, Viseu",Parada de Ester,geonames-pt,15.0,2024-11-10 14:52:31.582015,Q64284
3,1727-11-27,1826-10-25,Paradela de Lorvão,Paradela de Lorvão,,,Paradela de Lorvão,,,,Portugal,,,,,,,,,,,,,
3,1764-10-01,1898-10-13,"Paranhos, Porto","Paranhos, Porto",,8012859,Paranhos,Porto,,,Portugal,,41.17388,-8.59983,PRT.15.12.10_1,Paranhos,3.0,PRT.15.12_1,"Paranhos, Paranhos, Porto, Porto",Paranhos,geonames-pt,20.0,2024-11-10 14:52:30.093430,Q1973541
3,1752-02-16,1789-10-31,"Paraíba do Norte, Brasil","Cabedelo, Cabedelo, Paraíba, Brasil",,6320294,Cabedelo,Cabedelo,Paraíba,,Brasil,,-7.0272,-34.85044,2503209,Cabedelo,3.0,BRA.15_1,"Cabedelo, Cabedelo, Paraíba, Brasil",Cabedelo,geonames-br,35.0,2024-11-10 14:52:29.044442,Q986350
3,1722-10-01,1845-10-15,Paredes do Bairro,Paredes do Bairro,,8014780,Paredes do Bairro,,,,Portugal,,40.45542,-8.5005,PRT.1.3.10_1,Paredes do Bairro,3.0,PRT.1.3_1,"Paredes do Bairro, Paredes do Bairro, Anadia, Aveiro",Paredes do Bairro,geonames-pt,15.0,2024-11-10 14:52:31.582954,Q1074551
3,1762-10-01,1770-10-01,Passos de Santa Marinha,Passos de Santa Marinha,,,Passos de Santa Marinha,,,,Portugal,,,,,,,,,,,,,
3,1752-10-01,1753-10-01,Paus,Paus,,8013891,Paus,,,,Portugal,,41.06712,-7.90478,PRT.20.13.10_1,Paus,3.0,PRT.20.13_1,"Paus, Paus, Resende, Viseu",Paus,geonames-pt,15.0,2024-11-10 14:52:31.583882,Q93473
3,1756-11-02,1769-10-01,Paços de Brandão,Paços de Brandão,,8014634,Paços de Brandão,,,,Portugal,,40.97474,-8.59237,PRT.1.15.19_1,Paços de Brandão,3.0,PRT.1.15_1,"Paços de Brandão, Paços de Brandão, Santa Maria da Feira, Aveiro",Paços de Brandão,geonames-pt,15.0,2024-11-10 14:52:31.584820,Q4346748
3,1902-10-07,1908-10-02,Paços de Ferreira,Paços de Ferreira,,2736883,Paços de Ferreira,,,,Portugal,,41.27657,-8.37617,PRT.15.9.12_1,Paços de Ferreira,3.0,PRT.15.9_1,"Paços de Ferreira, Paços de Ferreira, Paços de Ferreira, Porto",Paços de Ferreira,geonames-pt,20.0,2024-11-10 14:52:29.438067,Q49287873
3,1764-10-01,1768-10-01,"Pedreira, Guimarães","Pedreira, Guimarães",,,Pedreira,Guimarães,,,Portugal,,,,,,,,,,,,,
3,1764-10-01,1770-10-01,"Pedreira, Unhão","Pedreira, Unhão",,,Pedreira,Unhão,,,Portugal,,,,,,,,,,,,,
3,1710-12-20,1744-10-01,Pedrosa,Pedrosa,,2736526,Pedrosa,,,,Portugal,,41.75385,-8.60875,PRT.18.7.16_1,Correlhã,3.0,PRT.18.7_1,"Pedrosa, Correlhã, Ponte de Lima, Viana do Castelo",Pedrosa,geonames-pt,10.0,2024-11-10 14:52:33.100066,*notfound*
3,1752-10-01,1763-10-01,Pedroso,Pedroso,,8012941,Pedroso,,,,Portugal,,41.06686,-8.5621,PRT.15.18.13_1,Pedroso,3.0,PRT.15.18_1,"Pedroso, Pedroso, Vila Nova de Gaia, Porto",Pedroso,geonames-pt,15.0,2024-11-10 14:52:31.585743,Q2066907
3,1746-11-12,1908-10-02,Pegarinhos,Pegarinhos,,8013545,Pegarinhos,,,,Portugal,,41.36018,-7.44178,PRT.19.1.8_1,Pegarinhos,3.0,PRT.19.1_1,"Pegarinhos, Pegarinhos, Alijó, Vila Real",Pegarinhos,geonames-pt,15.0,2024-11-10 14:52:31.586700,Q168513
3,1741-10-01,1875-10-14,Penha Garcia,Penha Garcia,,8011712,Penha Garcia,,,,Portugal,,40.03486,-6.95591,PRT.6.5.10_1,Penha Garcia,3.0,PRT.6.5_1,"Penha Garcia, Penha Garcia, Idanha-a-Nova, Castelo Branco",Penha Garcia,geonames-pt,15.0,2024-11-10 14:52:31.587618,Q1276167
3,1703-04-21,1803-10-07,Percelada,Percelada,,2736385,Percelada,,,,Portugal,,40.34228,-7.94791,PRT.7.16.4_1,Covas,3.0,PRT.7.16_1,"Percelada, Covas, Tábua, Coimbra",Percelada,geonames-pt,10.0,2024-11-10 14:52:33.100941,*notfound*
3,1740-05-30,1814-10-31,"Peredo, Moncorvo","Peredo, Moncorvo",,,Peredo,Moncorvo,,,Portugal,,,,,,,,,,,,,
3,1748-10-01,1839-10-31,"Pereira, Miranda do Corvo","Pereira, Miranda do Corvo",,2736380,Pereira,Miranda do Corvo,,,Portugal,,40.07548,-8.31204,PRT.7.9.2_1,Miranda do Corvo,3.0,PRT.7.9_1,"Pereira, Miranda do Corvo, Miranda do Corvo, Coimbra",Pereira,geonames-pt,15.0,2024-11-10 14:52:32.558278,*notfound*
3,1745-12-11,1762-10-01,"Pereira, Mouronho","Pereira, Mouronho",,2736378,Pereira,Mouronho,,,Portugal,,40.29777,-8.02606,PRT.7.16.9_1,Mouronho,3.0,PRT.7.16_1,"Pereira, Mouronho, Tábua, Coimbra",Pereira,geonames-pt,15.0,2024-11-10 14:52:32.565530,*notfound*
3,1692-10-01,1818-10-31,Pernanbuco,Pernanbuco,,,Pernanbuco,,,,Portugal,,,,,,,,,,,,,
3,1634-10-13,1761-10-01,Perozelo,Perozelo,,8012840,Perozelo,,,,Portugal,,41.15076,-8.26709,PRT.15.11.25_1,Perozelo,3.0,PRT.15.11_1,"Perozelo, Perozelo, Penafiel, Porto",Perozelo,geonames-pt,15.0,2024-11-10 14:52:31.588531,Q1016647
3,1766-10-01,1784-10-31,"Pias, Tomar","Pias, Tomar",,2736294,Pias,Tomar,,,Portugal,,41.07508,-8.07429,PRT.20.4.3_1,Cinfães,3.0,PRT.20.4_1,"Pias, Cinfães, Cinfães, Viseu",Pias,geonames-pt,10.0,2024-11-10 14:52:33.555015,*notfound*
3,1569-03-02,1695-10-01,Pinhete,Pinhete,,2264685,Pinhete,,,,Portugal,,39.85398,-8.65282,PRT.11.15.14_1,Santiago de Litém,3.0,PRT.11.15_1,"Pinhete, Santiago de Litém, Pombal, Leiria",Pinhete,geonames-pt,10.0,2024-11-10 14:52:33.101810,*notfound*
3,1684-10-01,1815-10-17,Ponte da Mata,Ponte da Mata,,2736054,Ponte da Mata,,,,Portugal,,40.32518,-8.3626,PRT.7.13.10_1,Sazes do Lorvão,3.0,PRT.7.13_1,"Ponte da Mata, Sazes do Lorvão, Penacova, Coimbra",Ponte da Mata,geonames-pt,10.0,2024-11-10 14:52:33.102679,*notfound*
3,1710-10-01,1737-10-01,Ponte de Anhel,Ponte de Anhel,,2736052,Ponte de Anhel,,,,Portugal,,41.62831,-8.56856,PRT.18.7.43_1,Sandiães,3.0,PRT.18.7_1,"Ponte de Anhel, Sandiães, Ponte de Lima, Viana do Castelo",Ponte de Anhel,geonames-pt,10.0,2024-11-10 14:52:33.103554,*notfound*
3,1703-10-01,1714-10-01,Ponte de Louro,Ponte de Louro,,,Ponte de Louro,,,,Portugal,,,,,,,,,,,,,
3,1597-10-26,1634-10-14,Pontével,Pontével,,8012989,Pontével,,,,Portugal,,39.14749,-8.83862,PRT.16.6.4_1,Pontével,3.0,PRT.16.6_1,"Pontével, Pontével, Cartaxo, Santarém",Pontével,geonames-pt,15.0,2024-11-10 14:52:31.589440,Q1582638
3,1621-10-20,1737-10-01,Porco,Porco,,,Porco,,,,Portugal,,,,,,,,,,,,,
3,1845-10-14,1893-10-11,"Portel, Évora","Portel, Évora",,2264503,Portel,Évora,,,Portugal,,38.30697,-7.70244,PRT.8.9.5_1,Portel,3.0,PRT.8.9_1,"Portel, Portel, Portel, Évora",Portel,geonames-pt,25.0,2024-11-10 14:52:29.161572,*notfound*
3,1735-02-01,1887-10-15,"Portela, Vila Verde","Portela, Vila Verde",,2735946,Portela,Vila Verde,,,Portugal,,41.60714,-8.47108,PRT.4.13.56_1,Vila de Prado,3.0,PRT.4.13_1,"Portelo, Vila de Prado, Vila Verde, Braga",Portelo,geonames-pt,13.571428571428573,2024-11-10 14:52:32.807288,*notfound*
3,1753-11-20,1754-12-30,Porto de Rei,Porto de Rei,,2735920,Porto de Rei,,,,Portugal,,41.11652,-7.91022,PRT.20.13.14_1,São Martinho de Mouros,3.0,PRT.20.13_1,"Porto de Rei, São Martinho de Mouros, Resende, Viseu",Porto de Rei,geonames-pt,10.0,2024-11-10 14:52:33.104417,*notfound*
3,1745-10-01,1817-10-05,Portél,Portél,,,Portél,,,,Portugal,,,,,,,,,,,,,
3,1826-10-16,1908-10-08,Pousafoles,Pousafoles,,,Pousafoles,,,,Portugal,,,,,,,,,,,,,
3,1884-06-17,1908-11-03,Povoação,Povoação,,8010688,Povoação,,,,Portugal,,37.76471,-25.24487,PRT.2.11.5_1,Povoação,3.0,PRT.2.11_1,"Povoação, Povoação, Povoação, Azores",Povoação,geonames-pt,20.0,2024-11-10 14:52:29.518636,Q565726
3,1765-10-01,1824-10-15,"Povoação, Vila Real","Povoação, Vila Real",,,Povoação,Vila Real,,,Portugal,,,,,,,,,,,,,
3,1728-10-01,1886-06-30,Prados,Prados,,8012083,Prados,,,,Portugal,,40.55425,-7.39188,PRT.10.3.15_1,Prados,3.0,PRT.10.3_1,"Prados, Prados, Celorico da Beira, Guarda",Prados,geonames-pt,15.0,2024-11-10 14:52:31.590353,Q24212
3,1893-10-12,1909-10-08,"Praia, Cabo Verde","Praia, Cabo Verde",,3374333,Praia,,,,Cabo Verde,,14.93152,-23.51254,CPV.7_1,Praia,1.0,,"Praia, Praia",Praia,geonames-cv,20.0,2024-11-10 14:52:29.216942,Q3751
3,1823-10-29,1827-07-23,Prelada,Prelada,,,Prelada,,,,Portugal,,,,,,,,,,,,,
3,1620-12-01,1756-03-29,Prime,Prime,,2735697,Prime,,,,Portugal,,40.63635,-7.83773,PRT.20.23.14_1,Fragosela,3.0,PRT.20.23_1,"Prime, Fragosela, Viseu, Viseu",Prime,geonames-pt,10.0,2024-11-10 14:52:33.105380,*notfound*
3,1644-10-05,1684-10-01,Proença a Velha,Proença a Velha,,,Proença a Velha,,,,Portugal,,,,,,,,,,,,,
3,1717-10-01,1806-10-31,Pé de Cão,Pé de Cão,,2265071,Pé de Cão,,,,Portugal,,39.53928,-8.49047,PRT.16.20.7_1,Olaia,3.0,PRT.16.20_1,"Pé de Cão, Olaia, Torres Novas, Santarém",Pé de Cão,geonames-pt,10.0,2024-11-10 14:52:33.106245,*notfound*
3,1620-10-29,1774-06-07,Póvoa Nova,Póvoa Nova,,2735769,Póvoa Nova,,,,Portugal,,40.42837,-7.65635,PRT.10.12.18_1,São Martinho,3.0,PRT.10.12_1,"Póvoa Nova, São Martinho, Seia, Guarda",Póvoa Nova,geonames-pt,10.0,2024-11-10 14:52:33.107109,*notfound*
3,1727-10-01,1764-10-01,Póvoa da Arnosa,Póvoa da Arnosa,,2735830,Póvoa da Arnosa,,,,Portugal,,40.43333,-8.03333,PRT.20.2.5_1,Papízios,3.0,PRT.20.2_1,"Póvoa da Arnosa, Papízios, Carregal do Sal, Viseu",Póvoa da Arnosa,geonames-pt,10.0,2024-11-10 14:52:33.107970,*notfound*
3,1718-12-01,1729-11-19,Póvoa da Cioga,Póvoa da Cioga,,,Póvoa da Cioga,,,,Portugal,,,,,,,,,,,,,
3,1592-10-28,1731-10-01,Póvoa de Cervães,Póvoa de Cervães,,8014354,Póvoa de Cervães,,,,Portugal,,40.561,-7.68162,PRT.20.6.13_1,Póvoa de Cervães,3.0,PRT.20.6_1,"Póvoa de Cervães, Póvoa de Cervães, Mangualde, Viseu",Póvoa de Cervães,geonames-pt,15.0,2024-11-10 14:52:31.591273,Q74373
3,1620-10-17,1758-11-24,Póvoa de Midões,Póvoa de Midões,,8014235,Póvoa de Midões,,,,Portugal,,40.39126,-7.98982,PRT.7.16.11_1,Póvoa de Midões,3.0,PRT.7.16_1,"Póvoa de Midões, Póvoa de Midões, Tábua, Coimbra",Póvoa de Midões,geonames-pt,15.0,2024-11-10 14:52:31.592186,Q1645311
3,1790-10-30,1807-10-06,Póvoa de São Cosme,Póvoa de São Cosme,,2735790,Póvoa de São Cosme,,,,Portugal,,40.43963,-7.90284,PRT.7.11.5_1,Ervedal,3.0,PRT.7.11_1,"Póvoa de São Cosme, Ervedal, Oliveira do Hospital, Coimbra",Póvoa de São Cosme,geonames-pt,10.0,2024-11-10 14:52:33.108836,*notfound*
3,1702-10-23,1747-10-01,Póvoa do Bispo,Póvoa do Bispo,,2735785,Póvoa do Bispo,,,,Portugal,,40.38547,-8.55046,PRT.7.2.11_1,Ourentã,3.0,PRT.7.2_1,"Póvoa do Bispo, Ourentã, Cantanhede, Coimbra",Póvoa do Bispo,geonames-pt,10.0,2024-11-10 14:52:33.109733,*notfound*
3,1707-10-01,1809-11-15,Póvoa do Sobral,Póvoa do Sobral,,,Póvoa do Sobral,,,,Portugal,,,,,,,,,,,,,
3,1836-10-24,1860-10-03,"Póvoa, Aveiro","Póvoa, Aveiro",,2735767,Póvoa,Aveiro,,,Portugal,,41.01422,-8.46897,PRT.1.15.4_1,Canedo,3.0,PRT.1.15_1,"Póvoas, Canedo, Santa Maria da Feira, Aveiro",Póvoas,geonames-pt,13.333333333333334,2024-11-10 14:52:32.847731,*notfound*
3,1704-12-05,1745-10-01,Quilho,Quilho,,,Quilho,,,,Portugal,,,,,,,,,,,,,
3,1734-10-01,1755-10-30,Quinta da Boavista,Quinta da Boavista,,,Quinta da Boavista,,,,Portugal,,,,,,,,,,,,,
3,1693-10-01,1800-10-02,Quinta da Reguenga,Quinta da Reguenga,,,Quinta da Reguenga,,,,Portugal,,,,,,,,,,,,,
3,1633-10-13,1755-12-23,Quintal,Quintal,,,Quintal,,,,Portugal,,,,,,,,,,,,,
3,1557-02-28,1841-10-26,"Quintela, Viseu","Quintela, Viseu",,8013940,Quintela,Viseu,,,Portugal,,40.85647,-7.58901,PRT.20.18.14_1,Quintela,3.0,PRT.20.18_1,"Quintela, Quintela, Sernancelhe, Viseu",Quintela,geonames-pt,20.0,2024-11-10 14:52:30.184934,Q111798
3,1707-10-01,1826-10-23,Ramalde,Ramalde,,8012860,Ramalde,,,,Portugal,,41.17204,-8.64284,PRT.15.12.11_1,Ramalde,3.0,PRT.15.12_1,"Ramalde, Ramalde, Porto, Porto",Ramalde,geonames-pt,15.0,2024-11-10 14:52:31.593149,Q1973526
3,1756-10-30,1854-10-03,Ramalhal,Ramalhal,,8012571,Ramalhal,,,,Portugal,,39.15785,-9.22987,PRT.12.15.13_1,Ramalhal,3.0,PRT.12.15_1,"Ramalhal, Ramalhal, Torres Vedras, Lisboa",Ramalhal,geonames-pt,15.0,2024-11-10 14:52:31.594066,Q2119138
3,1728-11-03,1732-10-01,Rebordinhos,Rebordinhos,,,Rebordinhos,,,,Portugal,,,,,,,,,,,,,
3,1814-10-31,1902-10-04,Reboreda,Reboreda,,8013415,Reboreda,,,,Portugal,,41.95495,-8.72362,PRT.18.10.11_1,Reboreda,3.0,PRT.18.10_1,"Reboreda, Reboreda, Vila Nova de Cerveira, Viana do Castelo",Reboreda,geonames-pt,15.0,2024-11-10 14:52:31.595001,Q2097717
3,1737-10-01,1758-10-01,"Recardães, Águeda","Recardães, Águeda",,8010710,Recardães,Águeda,,,Portugal,,40.56445,-8.46484,PRT.1.1.16_1,Recardães,3.0,PRT.1.1_1,"Recardães, Recardães, Águeda, Aveiro",Recardães,geonames-pt,20.0,2024-11-10 14:52:29.902116,Q1279738
3,1697-10-01,1890-06-11,Recezinhos,Recezinhos,,2735364,Recezinhos,,,,Portugal,,41.23973,-8.20677,PRT.15.11.29_1,Recezinhos (São Mamede),3.0,PRT.15.11_1,"Recezinhos, Recezinhos (São Mamede), Penafiel, Porto",Recezinhos,geonames-pt,10.0,2024-11-10 14:52:33.110632,*notfound*
3,1874-10-13,1889-11-06,"Rede, Mesão Frio","Rede, Mesão Frio",,,Rede,Mesão Frio,,,Portugal,,,,,,,,,,,,,
3,1840-10-26,1869-10-02,Redial,Redial,,2735357,Redial,,,,Portugal,,41.67675,-7.52825,PRT.19.3.50_1,Vilela do Tâmega,3.0,PRT.19.3_1,"Redial, Vilela do Tâmega, Chaves, Vila Real",Redial,geonames-pt,10.0,2024-11-10 14:52:33.111531,*notfound*
3,1802-10-18,1861-10-02,"Redondo, Évora","Redondo, Évora",,2264009,Redondo,Évora,,,Portugal,,38.64872,-7.54708,PRT.8.10.2_1,Redondo,3.0,PRT.8.10_1,"Redondo, Redondo, Redondo, Évora",Redondo,geonames-pt,25.0,2024-11-10 14:52:29.177711,Q49288697
3,1753-10-24,1909-10-09,Refojos,Refojos,,,Refojos,,,,Portugal,,,,,,,,,,,,,
3,1704-10-01,1767-10-01,Refojos de Lima,Refojos de Lima,,,Refojos de Lima,,,,Portugal,,,,,,,,,,,,,
3,1760-10-30,1889-07-15,Rego Travesso,Rego Travesso,,2263992,Rego Travesso,,,,Portugal,,39.33368,-9.20575,PRT.11.12.6_1,Olho Marinho,3.0,PRT.11.12_1,"Rego Travesso, Olho Marinho, Óbidos, Leiria",Rego Travesso,geonames-pt,10.0,2024-11-10 14:52:33.112432,*notfound*
3,1636-10-19,1843-10-04,Reigada,Reigada,,8012098,Reigada,,,,Portugal,,40.7894,-6.94241,PRT.10.4.13_1,Reigada,3.0,PRT.10.4_1,"Reigada, Reigada, Figueira de Castelo Rodrigo, Guarda",Reigada,geonames-pt,15.0,2024-11-10 14:52:31.595919,Q24181
3,1740-10-01,1751-10-01,Reigoso,Reigoso,,8013636,Reigoso,,,,Portugal,,41.71835,-7.93532,PRT.19.6.25_1,Reigoso,3.0,PRT.19.6_1,"Reigoso, Reigoso, Montalegre, Vila Real",Reigoso,geonames-pt,15.0,2024-11-10 14:52:31.596964,Q198310
3,1745-10-01,1759-10-01,Remirão,Remirão,,,Remirão,,,,Portugal,,,,,,,,,,,,,
3,1736-10-01,1905-10-15,Ribeira Grande,Ribeira Grande,,8010689,Ribeira Grande,,,,Portugal,,37.80459,-25.46835,PRT.2.13.12_1,Ribeirinha,3.0,PRT.2.13_1,"Ribeira Grande, Ribeirinha, Ribeira Grande, Azores",Ribeira Grande,geonames-pt,15.0,2024-11-10 14:52:30.506675,Q565312
3,1841-10-30,1902-07-03,"Ribeira Grande, Ilha de São Miguel, Açores","Ribeira Grande, Ilha de São Miguel, Açores",,8010689,Ribeira Grande,Ilha de São Miguel,Açores,,Portugal,,37.80459,-25.46835,PRT.2.13.12_1,Ribeirinha,3.0,PRT.2.13_1,"Ribeira Grande, Ribeirinha, Ribeira Grande, Azores",Ribeira Grande,geonames-pt,19.166666666666668,2024-11-10 14:52:30.279730,Q565312
3,1660-11-24,1764-10-01,Ribeira de Litem,Ribeira de Litem,,,Ribeira de Litem,,,,Portugal,,,,,,,,,,,,,
3,1725-12-12,1731-10-01,Ribeira de Pernes,Ribeira de Pernes,,,Ribeira de Pernes,,,,Portugal,,,,,,,,,,,,,
3,1711-10-27,1763-10-01,Ribeira de Vilela,Ribeira de Vilela,,,Ribeira de Vilela,,,,Portugal,,,,,,,,,,,,,
3,1605-12-09,1756-10-01,Ribolhos,Ribolhos,,8013778,Ribolhos,,,,Portugal,,40.88186,-7.9315,PRT.20.3.21_1,Ribolhos,3.0,PRT.20.3_1,"Ribolhos, Ribolhos, Castro Daire, Viseu",Ribolhos,geonames-pt,15.0,2024-11-10 14:52:31.597894,Q64744
3,1752-10-01,1757-10-01,"Rio das Mortes, Brasil","Rio das Mortes, Brasil",,3451206,Rio das Mortes,,,,Brasil,,-21.19,-44.32861,3162500,São João del Rei,3.0,BRA.13_1,"Rio das Mortes, São João del Rei, Minas Gerais, Brasil",Rio das Mortes,geonames-br,10.0,2024-11-10 14:52:33.610711,*notfound*
3,1724-10-01,1907-10-11,Rochoso,Rochoso,,8012157,Rochoso,,,,Portugal,,40.51892,-7.09592,PRT.10.7.41_1,Rochoso,3.0,PRT.10.7_1,"Rochoso, Rochoso, Guarda, Guarda",Rochoso,geonames-pt,15.0,2024-11-10 14:52:31.598814,Q45866
3,1700-10-01,1873-10-07,Roças,Roças,,2735067,Roças,,,,Portugal,,41.05793,-7.95867,PRT.20.13.8_1,Ovadas,3.0,PRT.20.13_1,"Roças, Ovadas, Resende, Viseu",Roças,geonames-pt,10.0,2024-11-10 14:52:33.113488,*notfound*
3,1678-10-01,1720-10-22,Rãs,Rãs,,2735435,Rãs,,,,Portugal,,40.76208,-7.63738,PRT.20.17.8_1,Romãs,3.0,PRT.20.17_1,"Rãs, Romãs, Sátão, Viseu",Rãs,geonames-pt,10.0,2024-11-10 14:52:33.114426,*notfound*
3,1753-10-01,1802-10-01,"Sabará, Minas Gerais, Brasil","Sabará, Minas Gerais, Brasil",,6321738,Sabará,Minas Gerais,,,Brasil,,-19.85393,-43.78326,3156700,Sabará,3.0,BRA.13_1,"Sabará, Sabará, Minas Gerais, Brasil",Sabará,geonames-br,20.0,2024-11-10 14:52:29.469600,Q1451808
3,1688-10-01,1761-12-30,Salgueirais,Salgueirais,,8012086,Salgueirais,,,,Portugal,,40.57445,-7.42247,PRT.10.3.18_1,Salgueirais,3.0,PRT.10.3_1,"Salgueirais, Salgueirais, Celorico da Beira, Guarda",Salgueirais,geonames-pt,15.0,2024-11-10 14:52:31.599729,Q24203
3,1762-01-01,1824-10-02,"Salgueiro, Guarda","Salgueiro, Guarda",,2734870,Salgueiro,Guarda,,,Portugal,,40.65703,-7.20371,PRT.10.7.14_1,Codesseiro,3.0,PRT.10.7_1,"Salgueiro, Codesseiro, Guarda, Guarda",Salgueiro,geonames-pt,15.0,2024-11-10 14:52:32.524436,*notfound*
3,1735-10-01,1762-10-01,Salvador de Valdreu,Salvador de Valdreu,,,Salvador de Valdreu,,,,Portugal,,,,,,,,,,,,,
3,1740-10-01,1748-12-19,Samil,Samil,,8011449,Samil,,,,Portugal,,41.78138,-6.7567,PRT.5.2.42_1,Samil,3.0,PRT.5.2_1,"Samil, Samil, Bragança, Bragança",Samil,geonames-pt,15.0,2024-11-10 14:52:31.600674,Q1886246
3,1627-10-16,1641-10-10,Santa Clara,Santa Clara,,8011801,Santa Clara,,,,Portugal,,40.19459,-8.43732,PRT.7.3.19_1,Santa Clara,3.0,PRT.7.3_1,"Santa Clara, Santa Clara, Coimbra, Coimbra",Santa Clara,geonames-pt,15.0,2024-11-10 14:52:31.601593,Q1435654
3,1748-10-01,1748-10-01,Santa Clara de São Jorge,Santa Clara de São Jorge,,,Santa Clara de São Jorge,,,,Portugal,,,,,,,,,,,,,
3,1853-10-05,1909-10-04,Santa Comba de Dão,Santa Comba de Dão,,,Santa Comba de Dão,,,,Portugal,,,,,,,,,,,,,
3,1842-10-29,1886-10-14,"Santa Cristina, Porto","Santa Cristina, Porto",,2734740,Santa Cristina,Porto,,,Portugal,,41.09013,-8.22535,PRT.15.7.1_1,Alpendurada e Matos,3.0,PRT.15.7_1,"Santa Cristina, Alpendurada e Matos, Marco de Canaveses, Porto",Santa Cristina,geonames-pt,15.0,2024-11-10 14:52:32.572575,*notfound*
3,1713-10-01,1721-10-31,Santa Eulália de Besteiros,Campo de Besteiros,,8014309,Campo de Besteiros,,,,Portugal,,40.55886,-8.12466,PRT.20.21.2_1,Campo de Besteiros,3.0,PRT.20.21_1,"Campo de Besteiros, Campo de Besteiros, Tondela, Viseu",Campo de Besteiros,geonames-pt,15.0,2024-11-10 14:52:31.602511,Q154212
3,1840-10-15,1882-10-02,"Santa Eulália, Guarda","Santa Eulália, Guarda",,8012255,Santa Eulália,Guarda,,,Portugal,,40.41439,-7.78717,PRT.10.12.15_1,Santa Eulália,3.0,PRT.10.12_1,"Santa Eulália, Santa Eulália, Seia, Guarda",Santa Eulália,geonames-pt,20.0,2024-11-10 14:52:30.214463,Q2120455
3,1718-10-01,1788-10-29,Santa Margarida,Santa Margarida,,,Santa Margarida,,,,Portugal,,,,,,,,,,,,,
3,1712-10-01,1731-10-01,Santa Maria da Torre,Santa Maria da Torre,,,Santa Maria da Torre,,,,Portugal,,,,,,,,,,,,,
3,1585-10-15,1842-10-10,Santa Maria de Arrifana,Santa Maria de Arrifana,,,Santa Maria de Arrifana,,,,Portugal,,,,,,,,,,,,,
3,1814-10-31,1854-10-14,Santa Maria de Ferreiros,Santa Maria de Ferreiros,,,Santa Maria de Ferreiros,,,,Portugal,,,,,,,,,,,,,
3,1738-10-01,1764-10-01,Santa Maria de Pombeiro,Santa Maria de Pombeiro,,,Santa Maria de Pombeiro,,,,Portugal,,,,,,,,,,,,,
3,1749-10-01,1860-10-04,Santa Marinha de Avanca,Santa Marinha de Avanca,,,Santa Marinha de Avanca,,,,Portugal,,,,,,,,,,,,,
3,1783-10-16,1902-10-01,Santa Marta de Penaguião,Santa Marta de Penaguião,,2734667,Santa Marta de Penaguião,,,,Portugal,,41.20991,-7.78386,PRT.19.11.6_1,Lobrigos (São Miguel),3.0,PRT.19.11_1,"Santa Marta de Penaguião, Lobrigos (São Miguel), Santa Marta de Penaguião, Vila Real",Santa Marta de Penaguião,geonames-pt,15.0,2024-11-10 14:52:30.404231,Q1006372
3,1889-10-22,1895-10-13,Santa Marta de Portuzelo,Santa Marta de Portuzelo,,8014296,Santa Marta de Portuzelo,,,,Portugal,,41.71558,-8.76902,PRT.18.9.29_1,Santa Marta de Portuzelo,3.0,PRT.18.9_1,"Santa Marta de Portuzelo, Santa Marta de Portuzelo, Viana do Castelo, Viana do Castelo",Santa Marta de Portuzelo,geonames-pt,15.0,2024-11-10 14:52:31.605273,Q645714
3,1725-10-01,1793-10-31,Santa Ovaia de Cima,Santa Ovaia de Cima,,2734655,Santa Ovaia de Cima,,,,Portugal,,40.55249,-8.0595,PRT.20.21.3_1,Canas de Santa Maria,3.0,PRT.20.21_1,"Santa Ovaia de Cima, Canas de Santa Maria, Tondela, Viseu",Santa Ovaia de Cima,geonames-pt,10.0,2024-11-10 14:52:33.115452,*notfound*
3,1700-10-01,1847-10-13,Santiago de Armamar,Santiago de Armamar,,,Santiago de Armamar,,,,Portugal,,,,,,,,,,,,,
3,1693-12-17,1909-10-07,Santiago de Cassurrães,Santiago de Cassurrães,,8014351,Santiago de Cassurrães,,,,Portugal,,40.57387,-7.70109,PRT.20.6.15_1,Santiago de Cassurrães,3.0,PRT.20.6_1,"Santiago de Cassurrães, Santiago de Cassurrães, Mangualde, Viseu",Santiago de Cassurrães,geonames-pt,15.0,2024-11-10 14:52:31.606190,Q74387
3,1812-11-25,1816-10-31,Santiago de Riba Ul,Santiago de Riba Ul,,,Santiago de Riba Ul,,,,Portugal,,,,,,,,,,,,,
3,1625-10-07,1635-10-15,Santiago dos Milagres,Santiago dos Milagres,,,Santiago dos Milagres,,,,Portugal,,,,,,,,,,,,,
