gml_id,text,sourceOfNa
PT.GN.112460,Charneca,DGT
PT.GN.112461,Monte Velho,DGT
PT.GN.112462,Várzea da Mão,DGT
PT.GN.112463,Sesmarias,DGT
PT.GN.112464,Salicos,DGT
PT.GN.112465,Vale Judeu,DGT
PT.GN.112466,Mosqueira,DGT
PT.GN.112467,Torre da Mosqueira,DGT
PT.GN.112468,Terras Ruivas,DGT
PT.GN.112469,Meia Praia,DGT
PT.GN.112470,Álamos,DGT
PT.GN.112471,Benfarras,DGT
PT.GN.112472,Monte Poço,DGT
PT.GN.112473,Tavagueira,DGT
PT.GN.112474,Porches,DGT
PT.GN.112475,Pinhal,DGT
PT.GN.112476,Patã de Cima,DGT
PT.GN.112477,Praia da Rocha,DGT
PT.GN.112478,Poço do Vale,DGT
PT.GN.112479,Lombos,DGT
PT.GN.112480,Pera,DGT
PT.GN.112481,Goncinha,DGT
PT.GN.112482,Maritenda,DGT
PT.GN.112483,Ataboeira,DGT
PT.GN.112484,Estiramantens,DGT
PT.GN.112485,Três Castelos,DGT
PT.GN.112486,Pereiro,DGT
PT.GN.112487,Portelas,DGT
PT.GN.112488,Goldra de Cima,DGT
PT.GN.112489,Bordeira,DGT
PT.GN.112490,Guia,DGT
PT.GN.112491,Ferreiras,DGT
PT.GN.112492,Ferragudo,DGT
PT.GN.112493,Alto Pacheco,DGT
PT.GN.112494,Fontainhas,DGT
PT.GN.112495,Amoreira,DGT
PT.GN.112496,Igreja - Santo Estevão,DGT
PT.GN.112497,Monte João Preto,DGT
PT.GN.112498,Sinagoga,DGT
PT.GN.112499,Vale de França,DGT
PT.GN.112500,Alcantarilha,DGT
PT.GN.112501,Alvor,DGT
PT.GN.112502,Vale Serves,DGT
PT.GN.112503,Tavira,DGT
PT.GN.112504,Chinicato,DGT
PT.GN.112505,Bela Vista,DGT
PT.GN.112506,Boliqueime,DGT
PT.GN.112507,Machados,DGT
PT.GN.112508,Peral,DGT
PT.GN.112509,Portimão,DGT
PT.GN.112510,Poço das Canas,DGT
PT.GN.112511,Betunes,DGT
PT.GN.112512,Lagoa,DGT
PT.GN.112513,Má Partilha,DGT
PT.GN.112514,Casas Leirias,DGT
PT.GN.112515,Cortelhas,DGT
PT.GN.112516,Parchal,DGT
PT.GN.112517,Valverde,DGT
PT.GN.112518,Gorjões,DGT
PT.GN.112519,Quatro Estradas,DGT
PT.GN.112520,Monte Agudo,DGT
PT.GN.112521,Três Bicos,DGT
PT.GN.112522,Loulé,DGT
PT.GN.112523,Aldeia das Sobreiras,DGT
PT.GN.112524,Texugueiras,DGT
PT.GN.112525,Alfarrobeiras,DGT
PT.GN.112526,São Sebastião,DGT
PT.GN.112527,Pateiro,DGT
PT.GN.112528,Malhadais,DGT
PT.GN.112529,Barreiras Brancas,DGT
PT.GN.112530,Barão de São João,DGT
PT.GN.112531,Cabanas,DGT
PT.GN.112532,Campina,DGT
PT.GN.112533,Corotelo,DGT
PT.GN.112534,Barracha,DGT
PT.GN.112535,Montes Raposos/Centieiras,DGT
PT.GN.112536,Ribeiro,DGT
PT.GN.112537,Sobral,DGT
PT.GN.112538,Piedade,DGT
PT.GN.112539,Malhão,DGT
PT.GN.112540,Pedra Mourinha-Vale Lagar,DGT
PT.GN.112541,Alto do Poço,DGT
PT.GN.112542,Montes Juntos,DGT
PT.GN.112543,Renda,DGT
PT.GN.112544,Calvário,DGT
PT.GN.112545,Canais,DGT
PT.GN.112546,Canais,DGT
PT.GN.112547,Mexilhoeira da Carregação,DGT
PT.GN.112548,Fonte da Murta,DGT
PT.GN.112549,Poço Novo,DGT
PT.GN.112550,Vila Nova da Baronia,DGT
PT.GN.112551,Torrão,DGT
PT.GN.112552,Lagoa Formosa,DGT
PT.GN.112553,Granja,DGT
PT.GN.112554,Portel,DGT
PT.GN.112555,Carvalhal,DGT
PT.GN.112556,Oriola,DGT
PT.GN.112557,Viana do Alentejo,DGT
PT.GN.112558,São Marcos do Campo,DGT
PT.GN.112559,Luz,DGT
PT.GN.112560,São Bartolomeu do Outeiro,DGT
PT.GN.112561,Campinho,DGT
PT.GN.112562,Comporta,DGT
PT.GN.112563,Mourão,DGT
PT.GN.112564,Alcácer do Sal,DGT
PT.GN.112565,Aguiar,DGT
PT.GN.112566,Alcáçovas,DGT
PT.GN.112567,Monte do Trigo,DGT
PT.GN.112568,Torre de Coelheiros,DGT
PT.GN.112569,Perolivas/Gafanhoeiras,DGT
PT.GN.112570,Reguengos de Monsaraz,DGT
PT.GN.112571,Azóia,DGT
PT.GN.112572,Santa Susana,DGT
PT.GN.112573,Caridade,DGT
PT.GN.112574,São Pedro do Corval,DGT
PT.GN.112575,Sesimbra,DGT
PT.GN.112576,Assenta,DGT
PT.GN.112577,Telheiro/Ferragudo,DGT
PT.GN.112578,Zambujal de Cima,DGT
PT.GN.112579,Vendinha,DGT
PT.GN.112580,São Manços,DGT
PT.GN.112581,Corredoura,DGT
PT.GN.112582,Zambujal de Baixo,DGT
PT.GN.112583,Pedreiras,DGT
PT.GN.112584,Santana,DGT
PT.GN.112585,Fornos,DGT
PT.GN.112586,Casal das Figueiras,DGT
PT.GN.112587,Pocinho da Maçã,DGT
PT.GN.112588,Almoinha,DGT
PT.GN.112589,Aldeia do Meco,DGT
PT.GN.112590,Caixas,DGT
PT.GN.112591,Sampaio,DGT
PT.GN.112592,Cotovia,DGT
PT.GN.112593,Quintinha,DGT
PT.GN.112594,Maçã,DGT
