count,date_min,date_max,naturalidade,normalizada
1,1765-10-01,1765-10-01,"Estreito, Priorado do Crato","Estreito, Priorado do Crato"
1,1622-10-06,1622-10-06,Estremoz ou Elvas,Estremoz ou Elvas
1,1552-07-29,1552-07-29,"Estremoz, ? Lisboa","Estremoz, ? Lisboa"
1,1741-04-22,1741-04-22,"Estremoz, Portalegre","Estremoz, Portalegre"
1,1672-10-01,1672-10-01,Estribeiro,Estribeiro
1,1839-10-31,1839-10-31,"Esturães, Braga","Esturães, Braga"
1,1771-04-18,1771-04-18,"Esturães, Ponte de Lima","Esturães, Ponte de Lima"
1,1878-10-02,1878-10-02,Estância,Estância
1,1756-10-01,1756-10-01,"Estói, Algarve","Estói, Algarve"
1,1706-05-06,1706-05-06,Eva,Eva
1,1726-10-01,1726-10-01,Evendos,Evendos
1,1735-10-25,1735-10-25,Extremadouro,Extremadouro
1,1745-10-01,1745-10-01,Extremôs,Extremôs
1,1672-10-01,1672-10-01,Facalmim,Facalmim
1,1692-10-01,1692-10-01,Facha,Facha
1,1824-10-18,1824-10-18,"Fafe, Guimarães","Fafe, Guimarães"
1,1770-10-01,1770-10-01,"Fafe, guimarães","Fafe, guimarães"
1,1576-11-23,1576-11-23,Fafião,Fafião
1,1612-10-13,1612-10-13,Fagarro,Fagarro
1,1875-06-18,1875-06-18,"Fagilde, Viseu","Fagilde, Viseu"
1,1908-10-12,1908-10-12,Fagueira,Fagueira
1,1899-10-05,1899-10-05,"Fajã de Cima, Ilha de São Miguel","Fajã de Cima, Ilha de São Miguel"
1,1715-10-01,1715-10-01,"Fajões, Chaves","Fajões, Chaves"
1,1769-12-01,1769-12-01,"Fala, Coimbra","Fala, Coimbra"
1,1721-10-27,1721-10-27,"Fala, São Martinho do Bispo","Fala, São Martinho do Bispo"
1,1870-10-04,1870-10-04,"Falachos, Guarda","Falachos, Guarda"
1,1825-10-31,1825-10-31,Faleiras,Faleiras
1,1906-10-13,1906-10-13,"Falgarosa, Águeda","Falgarosa, Águeda"
1,1790-10-22,1790-10-22,"Falmouth, Inglaterra","Falmouth, Inglaterra"
1,1762-10-01,1762-10-01,Falorca,Falorca
1,1843-10-31,1843-10-31,"Famalicão, Anadia","Famalicão, Anadia"
1,1821-10-29,1821-10-29,"Famalicão, Aveiro","Famalicão, Aveiro"
1,1908-10-08,1908-10-08,"Famalicão, Braga","Famalicão, Braga"
1,1807-10-05,1807-10-05,Fameres,Fameres
1,1706-10-01,1706-10-01,Famões,Famões
1,1806-10-22,1806-10-22,Fanha,Fanha
1,1735-10-01,1735-10-01,Faniqueira,Faniqueira
1,1793-10-25,1793-10-25,"Farelhães, Barcelos","Farelhães, Barcelos"
1,1802-00-00,1802-00-00,"Faria, Barcelos","Faria, Barcelos"
1,1764-10-01,1764-10-01,"Fariginhas, Castro Daire","Fariginhas, Castro Daire"
1,1718-10-01,1718-10-01,Farinhão,Farinhão
1,1714-10-01,1714-10-01,Farjões,Farjões
1,1857-10-03,1857-10-03,Farmanhão,Farmanhão
1,1838-10-30,1838-10-30,Farme,Farme
1,1708-10-30,1708-10-30,Farmil,Farmil
1,1551-00-00,1551-00-00,"Faro, algarve","Faro, algarve"
1,1687-10-01,1687-10-01,"Faro, tavira","Faro, tavira"
1,1728-11-20,1728-11-20,Farraça,Farraça
1,1796-10-18,1796-10-18,Farrio,Farrio
1,1764-10-01,1764-10-01,"Farrio, Ourém","Farrio, Ourém"
1,1844-10-19,1844-10-19,"Farrio, Santarém","Farrio, Santarém"
1,1807-10-05,1807-10-05,Fatela do Fundão,Fatela do Fundão
1,1732-10-01,1732-10-01,Favaes,Favaes
1,1746-10-01,1746-10-01,"Favaios, Alijó","Favaios, Alijó"
1,1555-10-00,1555-10-00,"Favaios, Braga","Favaios, Braga"
1,1766-10-01,1766-10-01,"Favaios, Viseu","Favaios, Viseu"
1,1766-10-01,1766-10-01,Favarral,Favarral
1,1764-10-01,1764-10-01,"Favarral, Lafões","Favarral, Lafões"
1,1675-10-01,1675-10-01,Faviaos,Faviaos
1,1770-10-01,1770-10-01,Favões,Favões
1,1668-10-01,1668-10-01,Fazemão,Fazemão
1,1708-10-01,1708-10-01,"Fazemão, Oliveira de","Fazemão, Oliveira de"
1,1742-10-01,1742-10-01,Febosa,Febosa
1,1834-10-31,1834-10-31,Feira Nova,Feira Nova
1,1849-10-31,1849-10-31,Feira Nova de Amares,Feira Nova de Amares
1,1857-10-07,1857-10-07,Feiteira,Feiteira
1,1768-10-01,1768-10-01,Feitosa,Feitosa
1,1724-10-01,1724-10-01,Feixo de Espada à Cinta,Feixo de Espada à Cinta
1,1799-10-07,1799-10-07,"Felgar, Bragança","Felgar, Bragança"
1,1756-10-01,1756-10-01,Felgaria,Felgaria
1,1588-10-01,1588-10-01,Felgosa,Felgosa
1,1804-06-02,1804-06-02,Felgueiras de Santão,Felgueiras de Santão
1,1762-10-01,1762-10-01,"Felgueiras, Guimarães","Felgueiras, Guimarães"
1,1761-10-01,1761-10-01,"Felgueiras, São Veríssimo","Felgueiras, São Veríssimo"
1,1779-10-29,1779-10-29,"Felgueiras, Torre","Felgueiras, Torre"
1,1733-10-01,1733-10-01,Feliteira,Feliteira
1,1763-10-01,1763-10-01,Felpas,Felpas
1,1836-10-27,1836-10-27,"Feridão, Porto","Feridão, Porto"
1,1722-10-01,1722-10-01,Fermariz,Fermariz
1,1892-11-03,1892-11-03,"Fermedo, Arouca","Fermedo, Arouca"
1,1801-10-02,1801-10-02,"Fermentelos, Aveiro","Fermentelos, Aveiro"
1,1879-07-25,1879-07-25,Fermentões,Fermentões
1,1754-10-01,1754-10-01,Fermêdo,Fermêdo
1,1821-11-05,1821-11-05,Fernandinho,Fernandinho
1,1740-10-01,1740-10-01,Fernando,Fernando
1,1845-10-31,1845-10-31,Ferracinto,Ferracinto
1,1912-08-01,1912-08-01,Ferragudo,Ferragudo
1,1800-10-30,1800-10-30,"Ferragudo, Algarve","Ferragudo, Algarve"
1,1874-10-02,1874-10-02,"Ferragudo, Faro","Ferragudo, Faro"
1,1789-10-26,1789-10-26,Ferral,Ferral
1,1756-01-17,1756-01-17,"Ferrarias, Penela","Ferrarias, Penela"
1,1893-10-24,1893-10-24,Ferraz,Ferraz
1,1794-10-24,1794-10-24,Ferreira d'Alves,Ferreira d'Alves
1,1760-12-14,1760-12-14,Ferreira de Ave,Ferreira de Ave
1,1731-10-01,1731-10-01,Ferreira de Coura,Ferreira de Coura
1,1692-10-01,1692-10-01,Ferreira de Zêzere,Ferreira de Zêzere
1,1677-10-01,1677-10-01,Ferreira do Minho,Ferreira do Minho
1,1763-12-01,1763-12-01,"Ferreira, Alhadas","Ferreira, Alhadas"
1,1789-10-30,1789-10-30,"Ferreira, Coura","Ferreira, Coura"
1,1791-10-13,1791-10-13,"Ferreira, Feira","Ferreira, Feira"
1,1857-10-03,1857-10-03,"Ferreira, Fonte Arcada","Ferreira, Fonte Arcada"
1,1762-10-01,1762-10-01,"Ferreira, Lamego","Ferreira, Lamego"
1,1824-10-30,1824-10-30,"Ferreira, Ourique","Ferreira, Ourique"
1,1807-10-12,1807-10-12,"Ferreira, Poiares","Ferreira, Poiares"
1,1816-06-25,1816-06-25,"Ferreira, Tentúgal","Ferreira, Tentúgal"
1,1791-00-00,1791-00-00,"Ferreira, Tomar","Ferreira, Tomar"
1,1621-01-29,1621-01-29,"Ferreira, Évora","Ferreira, Évora"
1,1723-04-05,1723-04-05,Ferreira-a-Nova,Ferreira-a-Nova
1,1861-10-03,1861-10-03,"Ferreirim, Fonte Arcada","Ferreirim, Fonte Arcada"
1,1765-10-01,1765-10-01,"Ferreirim, Tarouca","Ferreirim, Tarouca"
1,1701-10-01,1701-10-01,Ferreirin,Ferreirin
1,1742-10-01,1742-10-01,Ferreiro da Lapa,Ferreiro da Lapa
1,1749-10-01,1749-10-01,Ferreiro de Tendais,Ferreiro de Tendais
1,1735-10-01,1735-10-01,"Ferreiros, Lanhoso","Ferreiros, Lanhoso"
1,1765-10-01,1765-10-01,"Ferreiros, Ourém","Ferreiros, Ourém"
1,1904-10-03,1904-10-03,"Ferreiros, Tondela","Ferreiros, Tondela"
1,1764-10-01,1764-10-01,"Ferreiros, Viseu","Ferreiros, Viseu"
1,1871-10-11,1871-10-11,"Ferreirós, Viseu","Ferreirós, Viseu"
1,1842-10-24,1842-10-24,Ferrel,Ferrel
1,1738-11-08,1738-11-08,Ferro,Ferro
1,1547-00-00,1547-00-00,"Ferrol, Galiza, Espanha","Ferrol, Galiza, Espanha"
1,1755-12-17,1755-12-17,Ferrreiras de Tendais,Ferrreiras de Tendais
1,1767-10-01,1767-10-01,"Fervença, Basto","Fervença, Basto"
1,1583-10-06,1583-10-06,"Fervença, Celorico de Basto","Fervença, Celorico de Basto"
1,1757-12-20,1757-12-20,Fervenças,Fervenças
1,1696-10-01,1696-10-01,Fevença de Basto,Fevença de Basto
1,1764-10-01,1764-10-01,"Fiel, Viseu","Fiel, Viseu"
1,1807-10-12,1807-10-12,Figueira Trancoso,Figueira Trancoso
1,1656-10-25,1656-10-25,Figueira d'Azoia,Figueira d'Azoia
1,1792-10-06,1792-10-06,Figueira da Azóia,Figueira da Azóia
1,1822-10-15,1822-10-15,"Figueira da Foz, Coimbra","Figueira da Foz, Coimbra"
1,1714-12-04,1714-12-04,Figueira de Azóia,Figueira de Azóia
1,1752-10-01,1752-10-01,Figueira de Santo Adrião,Figueira de Santo Adrião
1,1726-10-01,1726-10-01,Figueira do Vale,Figueira do Vale
1,1759-10-01,1759-10-01,"Figueira, Castelo Rodrigo","Figueira, Castelo Rodrigo"
1,1903-10-06,1903-10-06,"Figueira, Lamego","Figueira, Lamego"
1,1814-10-22,1814-10-22,"Figueira, Trancoso","Figueira, Trancoso"
1,1798-10-03,1798-10-03,"Figueirosa, Lamego","Figueirosa, Lamego"
1,1897-10-13,1897-10-13,Figueiró da Lixa,Figueiró da Lixa
1,1722-10-01,1722-10-01,"Figueiró da Serra, Linhares","Figueiró da Serra, Linhares"
1,1764-10-01,1764-10-01,Figueiró de Granja,Figueiró de Granja
1,1760-12-15,1760-12-15,Figueiró de Lorvão,Figueiró de Lorvão
1,1882-10-13,1882-10-13,Figueiró de São Cipriano,Figueiró de São Cipriano
1,1898-10-13,1898-10-13,"Figueiró, Amarante","Figueiró, Amarante"
1,1706-10-01,1706-10-01,Figueirós,Figueirós
1,1781-10-27,1781-10-27,"Figueirós, Cadaval","Figueirós, Cadaval"
1,1788-10-31,1788-10-31,Filhadosa,Filhadosa
1,1842-10-31,1842-10-31,Fiolhal,Fiolhal
1,1838-10-31,1838-10-31,Firande,Firande
1,1732-10-01,1732-10-01,Fiscal da Lousã,Fiscal da Lousã
1,1733-10-01,1733-10-01,"Fiscal, Lousã","Fiscal, Lousã"
1,1880-10-19,1880-10-19,"Fiscal, Vilarinho, Coimbra","Fiscal, Vilarinho, Coimbra"
1,1841-10-08,1841-10-08,Fisga,Fisga
1,1764-10-01,1764-10-01,"Fiães, Lafães","Fiães, Lafães"
1,1746-10-01,1746-10-01,"Fiães, Trancoso","Fiães, Trancoso"
1,1681-03-28,1681-03-28,Flechas,Flechas
1,1743-10-01,1743-10-01,"Flor da Rosa, Crato","Flor da Rosa, Crato"
1,1907-10-12,1907-10-12,Flor de Rosa,Flor de Rosa
1,1740-10-01,1740-10-01,"Fogueira, Sangalhos","Fogueira, Sangalhos"
1,1770-06-20,1770-06-20,Foinhas,Foinhas
1,1733-12-01,1733-12-01,Folgarosa,Folgarosa
1,1814-10-07,1814-10-07,"Folgorosa, Feira","Folgorosa, Feira"
1,1731-10-01,1731-10-01,Folgosa de Madalena,Folgosa de Madalena
1,1762-10-01,1762-10-01,Folgosa de Salvador,Folgosa de Salvador
