value,count,date_in,date_max
Lorvão,94,1580-03-11,1847-10-23
Monforte,94,1571-12-10,1910-10-13
Avis,93,1552-07-00,1908-10-02
Fonte Arcada,93,1540-10-06,1905-10-07
Lobão,93,1567-03-03,1913-10-09
Esgueira,91,1556-02-01,1908-10-02
Vila Nova de Foz Côa,91,1540-01-21,1907-10-15
Ílhavo,91,1575-00-00,1907-10-01
Bemposta,89,1537-07-03,1819-07-19
Matosinhos,89,1585-10-02,1899-10-15
Penafiel,88,1706-11-23,1909-10-04
Tancos,86,1540-00-00,1799-10-03
Penalva,85,1552-10-00,1739-01-16
Mangualde,84,1693-03-01,1909-10-07
Viana do Alentejo,84,1537-12-18,1893-10-09
Arrancada,82,1591-10-01,1818-10-12
Formoselha,82,1585-10-03,1889-10-02
Peniche,81,1592-10-08,1878-10-15
Celorico da Beira,80,1622-10-02,1910-10-31
Miranda do Douro,80,1538-12-01,1904-10-07
Mogadouro,80,1540-10-17,1912-07-12
Oliveira de Azeméis,80,1601-10-04,1912-07-23
Feira,79,1568-10-26,1882-06-14
Portel,79,1540-10-13,1869-07-21
Moimenta da Beira,78,1557-00-00,1907-10-09
Pocariça,78,1590-10-09,1909-10-08
Alcácer do Sal,77,1538-11-26,1915-10-28
Vila Nova de Portimão,77,1538-12-05,1910-10-14
Vila da Feira,77,1581-01-28,1909-10-02
Mação,76,1583-10-29,1907-10-09
Santa Marinha,76,1574-05-15,1904-10-07
Alvito,75,1540-00-00,1879-10-15
Benavente,75,1620-10-01,1909-10-02
Coura,75,1549-06-19,1848-10-31
Ponta Delgada,75,1649-11-15,1912-08-12
Celas,74,1591-10-07,1891-10-22
Midões,74,1555-02-01,1900-10-06
Marvão,73,1551-10-00,1910-10-10
Oliveira do Hospital,73,1537-09-26,1906-10-15
Pedrogão,72,1540-10-13,1887-10-14
Vila Franca de Xira,72,1566-03-03,1907-10-01
Batalha,71,1540-12-10,1904-10-03
Caldas da Rainha,71,1648-10-08,1908-10-07
Coruche,71,1554-02-12,1914-07-21
Aljubarrota,70,1540-10-16,1900-10-03
Anadia,70,1578-10-04,1909-10-09
Coja,70,1563-10-01,1896-10-10
Mondim de Basto,70,1673-10-01,1909-10-02
Barca,69,1592-10-08,1869-10-02
Melgaço,69,1575-11-15,1908-10-02
São João de Areias,69,1569-11-11,1912-08-08
Carapinheira,68,1669-01-03,1888-10-31
Folques,68,1568-10-04,1897-10-11
Louriçal,68,1549-00-00,1905-10-12
Penaguião,68,1540-10-21,1770-10-01
Vidigueira,68,1555-02-06,1900-10-12
Botão,67,1555-02-06,1907-10-15
Cabeceiras de Basto,67,1590-00-00,1907-10-15
Entre Ambos-os-Rios,67,1590-10-16,1765-10-01
Travanca,67,1589-11-13,1898-10-16
Vila Flor,67,1571-05-04,1897-10-08
Alter do Chão,66,1540-10-11,1909-10-07
São Miguel do Outeiro,66,1583-10-24,1761-10-01
Felgueiras,65,1585-10-02,1884-10-13
Palmela,65,1570-10-10,1901-10-09
Sabugosa,65,1574-03-13,1910-10-31
São Romão,65,1593-10-01,1881-10-15
Valongo,65,1625-10-15,1895-11-03
Arcos,64,1565-11-01,1897-10-12
Irlanda,64,1581-12-11,1808-11-29
Lourosa,64,1539-12-07,1883-10-03
Sernancelhe,64,1538-00-00,1908-10-08
Valezim,64,1587-10-08,1883-10-02
Baião,63,1566-10-01,1908-10-02
Freixo de Espada à Cinta,63,1589-11-04,1908-10-05
Oliveira do Conde,63,1540-06-13,1847-10-04
Pombeiro,63,1548-01-01,1905-10-03
São Martinho de Salreu,63,1577-11-13,1835-10-13
Veiros,63,1567-00-00,1902-10-25
Azurara,61,1538-05-09,1817-10-31
Moimenta da Serra,61,1620-10-07,1909-10-12
Provesende,61,1591-10-31,1871-10-11
Alvorge,60,1544-01-28,1900-10-05
Canas de Senhorim,60,1537-12-18,1903-10-03
Sintra,60,1537-11-26,1910-10-02
São Martinho de Mouros,60,1571-03-24,1854-10-14
Cabanas,59,1601-11-06,1909-10-04
Cernache do Bonjardim,59,1559-10-15,1910-10-12
Redondo,59,1540-10-06,1909-10-15
Vila Pouca de Aguiar,59,1551-00-00,1913-07-09
Castro Daire,58,1576-10-25,1908-10-02
Fornos de Algodres,58,1604-11-29,1909-10-09
Freixo de Numão,58,1564-10-01,1899-10-12
Semide,58,1580-03-19,1906-10-02
Pampilhosa,57,1571-03-24,1907-10-12
"Ponta Delgada, Açores",57,1573-03-07,1908-10-02
Proença-a-Nova,57,1572-10-27,1910-10-15
Santar,57,1538-10-22,1905-10-07
Figueira,56,1575-10-25,1870-10-03
Mealhada,56,1577-12-12,1903-10-23
Moncorvo,55,1593-12-24,1906-10-02
Santo Varão,55,1598-12-09,1842-10-14
Vacariça,55,1585-10-29,1908-10-09
Almalaguês,54,1589-11-10,1900-10-03
Alpalhão,54,1580-04-12,1906-10-04
Murça,54,1624-10-22,1891-10-23
Vila Franca,54,1540-03-17,1825-10-12
"Ilha Terceira, Açores",53,1552-10-00,1866-10-13
Leomil,53,1540-01-11,1910-10-11
Tavarede,53,1582-10-02,1893-10-03
Alcains,52,1604-10-11,1905-10-03
Avô,52,1605-10-19,1886-10-15
Cascais,52,1577-11-01,1909-10-18
Lobrigos,52,1587-10-22,1888-11-12
Vimieiro,52,1596-10-05,1913-07-28
Vinhais,52,1593-10-05,1897-10-13
Avelãs de Caminho,51,1565-10-01,1896-10-05
Esposende,51,1590-10-04,1909-10-09
Quiaios,51,1623-11-21,1878-10-08
Rabaçal,50,1599-01-13,1879-07-28
Valadares,50,1555-03-04,1847-10-05
Alcáçovas,49,1556-02-01,1806-10-29
Aldeia Galega,49,1558-11-15,1903-10-06
Almada,49,1537-02-19,1898-10-06
Castelo Viegas,49,1540-01-12,1908-07-04
Torrão,49,1566-10-01,1809-11-07
Turcifal,49,1577-05-06,1887-10-05
Amieira,48,1585-01-15,1870-10-14
Avanca,48,1587-10-19,1916-10-11
Sameice,48,1552-10-01,1892-12-07
