value,count,date_in,date_max
"São Salvador dos Campos de Goitacazes, Brasil",2,1803-10-31,1819-10-16
"São Salvador, Moncorvo",2,1820-11-15,1826-01-05
São Silvestre de Requião,2,1703-10-01,1760-10-01
"São Simão da Junqueira, Barcelos",2,1788-07-16,1817-11-05
São Tiago da Carvalhosa,2,1688-10-01,1734-10-25
São Tiago da Moita,2,1609-12-17,1712-10-01
São Tiago de,2,1632-10-15,1735-10-01
"São Tiago de Beduído, Estarreja",2,1729-10-01,1841-10-05
São Tiago de Esporães,2,1749-11-18,1900-10-12
São Tiago de Guilhofrei,2,1766-10-01,1894-10-15
São Tiago de Infesta,2,1702-11-20,1821-10-07
São Tiago de Lanhoso,2,1728-10-01,1735-10-01
São Tiago de Lustosa,2,1778-10-10,1870-10-03
São Tiago de Poiares,2,1706-10-01,1787-10-30
São Tiago de Rebordães,2,1728-10-01,1732-10-01
São Tiago do Cacém,2,1757-10-01,1907-10-08
"São Tiago e São Mateus, Sardoal",2,1894-10-12,1896-10-08
"São Tiago, Atiães",2,1728-10-01,1754-10-01
"São Tiago, Barcelos",2,1765-10-01,1777-11-08
São Tiaguinho,2,1708-10-01,1750-10-30
São Tomé de Vade,2,1717-01-28,1728-10-01
São Torcato,2,1715-10-01,1750-10-01
"São Veríssimo, Nevogilde",2,1748-01-10,1755-11-06
"São Veríssimo, Porto",2,1884-10-15,1884-10-30
São Vicente de Oleiros,2,1744-10-01,1746-10-01
São Vicente de Redondelo,2,1735-10-01,1737-12-12
São Vicente de Sousa,2,1753-10-01,1784-10-16
"São Vicente, Castelo Branco",2,1823-10-25,1836-10-08
"São Vicente, Funchal",2,1883-10-12,1910-10-28
"São Vicente, Guarda",2,1909-10-09,1910-11-04
"São Vitor, Braga",2,1909-10-07,1910-10-13
SãoJorge,2,1733-10-01,1745-10-01
"Taboado, Porto",2,1842-10-29,1855-10-02
Tabua,2,1744-01-21,1882-06-17
Tapéus,2,1695-10-01,1708-10-01
Tarouquela,2,1571-10-05,1739-10-01
"Tavira, Algarve",2,1577-10-24,1765-10-01
"Taíde, Guimarães",2,1818-11-04,1824-10-29
"Tebães, Amarante",2,1899-10-02,1907-10-01
Tendães,2,1682-01-10,1829-10-02
"Tenerife, Canarias",2,1549-02-00,1549-02-06
Tibalde,2,1827-10-05,1870-10-15
Togal,2,1594-04-02,1594-11-08
"Tojal, Lisboa",2,1586-10-20,1781-10-17
Tonda de Besteiros,2,1538-07-13,1593-03-26
Torre Moncorvo,2,1621-11-15,1742-10-01
Torre de D Chama,2,1710-10-01,1718-10-01
Torre de Dona Chama,2,1756-10-01,1885-10-15
Torre do Moncorvo,2,1714-10-29,1728-10-01
Torroselo,2,1812-12-23,1909-10-02
Torrozelas,2,1849-10-12,1865-10-03
"Torrão, Entre Ambos-os-Rios",2,1762-10-01,1766-10-01
Tortusendo,2,1821-11-14,1881-10-14
"Tourais, Guarda",2,1784-10-30,1883-10-02
"Touro, Lamego",2,1558-02-04,1587-11-02
Trasfigueiro,2,1722-10-01,1725-10-27
"Travanca, Braga",2,1620-12-16,1645-05-11
Travassó,2,1689-10-24,1827-10-20
"Travassó, Coimbra",2,1786-10-27,1793-10-03
"Travassô, Coimbra",2,1791-10-24,1857-10-15
"Travassô, Águeda",2,1836-10-12,1897-10-05
"Treixedo, Viseu",2,1805-10-31,1840-10-31
Troviscoso,2,1818-10-31,1907-10-14
"Trovões, Trancoso",2,1817-06-25,1820-11-13
"Tróia, Miranda do Corvo",2,1763-10-01,1764-10-01
Tui,2,1575-12-01,1582-11-10
Tuizelo,2,1718-10-01,1752-10-01
Tuizendes,2,1721-10-01,1722-10-01
Urgueira,2,1720-10-01,1740-10-01
Urval,2,1725-12-15,1731-06-14
"Vacariça, Mealhada",2,1863-10-05,1891-10-20
Valada,2,1758-10-01,1858-10-09
"Valadares, Porto",2,1903-10-15,1906-10-02
"Valadares, Valença",2,1766-10-01,1796-10-03
Valado,2,1643-10-25,1659-10-17
"Valado, Alcobaça",2,1733-10-01,1749-10-01
"Valbom, Arganil",2,1763-10-01,1769-10-01
Valdevez,2,1590-12-06,1619-10-09
Vale Longo,2,1731-07-09,1754-10-01
Vale Pereira,2,1661-11-01,1864-10-08
Vale da Mula,2,1780-10-25,1790-10-19
Vale da Mó,2,1754-10-22,1758-10-01
Vale das Fontes,2,1740-11-01,1786-10-16
Vale de Espinho,2,1888-10-10,1908-10-10
Vale de Figueira,2,1710-12-20,1907-10-01
Vale de Forno,2,1699-02-15,1765-10-01
Vale de Lobo,2,1761-10-01,1908-10-03
Vale de Mendiz,2,1710-10-01,1767-10-01
Vale de Mouro,2,1691-10-01,1723-10-01
Vale de Peso,2,1745-10-01,1754-10-01
"Vale de Prazeres, Fundão",2,1888-10-30,1896-10-12
Vale de Ázares,2,1653-12-03,1909-06-11
Vale do Poço,2,1756-12-16,1765-10-01
Valença do Moinho,2,1706-10-01,1708-11-07
Vales,2,1697-10-01,1814-10-12
"Vales, Guarda",2,1814-10-31,1817-05-21
Valesim,2,1847-10-23,1872-10-10
"Valezim, Seia",2,1835-10-07,1849-10-30
"Valongo, Vouga",2,1741-01-16,1764-10-01
Valpedre,2,1848-10-21,1849-10-31
"Vassal, Vila Real",2,1843-10-24,1879-10-15
Veiga,2,1727-10-01,1757-10-01
"Veiros, Aveiro",2,1816-07-12,1819-11-09
"Veiros, Portalegre",2,1858-10-15,1879-10-15
"Velas, Angra do Heroísmo",2,1906-10-06,1909-10-07
Venda Nova de Poiares,2,1757-10-01,1763-10-01
Venda das Figueiras,2,1690-10-01,1736-10-01
Venda de Moinhos,2,1756-10-01,1759-10-01
Venda do Vale,2,1687-10-01,1726-10-01
Vendas da Pedreira,2,1795-10-06,1899-10-02
Vendas de Galizes,2,1898-10-14,1899-10-02
Ventozela,2,1763-10-01,1765-10-01
Verdoejo,2,1729-10-01,1789-10-06
Verdomilho,2,1677-10-15,1756-10-29
Vermelha,2,1751-10-01,1899-10-02
Viana do Alvito,2,1594-10-18,1604-05-31
"Viana, Caminha",2,1632-10-25,1753-10-01
Viatodos,2,1842-10-14,1907-10-08
"Vide, Lamego",2,1764-10-01,1765-10-01
"Vide, Viseu",2,1764-10-01,1817-06-25
Vila Boa de Goiaz,2,1796-01-12,1822-10-03
Vila Boa de Goiazes,2,1788-10-29,1789-10-22
Vila Chã da Barca,2,1763-10-01,1764-10-01
Vila Chã de Cangueiros,2,1765-10-01,1869-10-16
Vila Chã do Monte,2,1731-11-19,1754-10-01
"Vila Chã, Vila do Conde",2,1761-01-30,1903-06-30
Vila Cortez da Estrada,2,1584-00-00,1909-10-07
"Vila Cortês, Guarda",2,1731-10-01,1876-10-09
Vila Cova a Coelheiro,2,1626-11-17,1734-01-05
Vila Cova de Alva,2,1685-10-01,1784-10-30
"Vila Cova de Sul, Avô",2,1732-10-01,1740-10-01
Vila Cova à Colheira,2,1725-10-01,1731-10-10
Vila Cova á Coelheira,2,1652-10-17,1705-10-01
"Vila Cova, Barcelos",2,1799-10-08,1802-10-31
Vila Cova-à-Coelheira,2,1670-10-21,1713-10-27
Vila Franca do Campo,2,1758-10-01,1876-10-07
"Vila Franca do Campo, Ponta Delgada",2,1879-05-30,1907-10-02
Vila Frescainha,2,1761-10-01,1886-10-02
"Vila Garcia, Porto",2,1838-10-22,1877-10-02
"Vila Marim, Mesão Frio",2,1760-10-01,1782-10-31
Vila Nova da Maia,2,1764-10-01,1770-10-01
Vila Nova da Palhaça,2,1748-12-19,1761-01-21
Vila Nova de Casal,2,1835-10-31,1836-07-15
Vila Nova de Oliveirinha,2,1904-10-03,1906-10-04
Vila Nova de Poiares,2,1679-10-15,1762-10-01
"Vila Nova do Casal, Atual Vila Nova do Tazem",2,1719-10-01,1722-10-01
Vila Nova do Outil,2,1728-10-26,1731-10-01
"Vila Nova do Topo, Ilha de São Jorge, Açores",2,1849-10-30,1887-10-08
"Vila Nova, Algarve",2,1540-12-29,1601-12-01
Vila Pouca de São Joaninho,2,1758-10-30,1761-01-15
Vila REal,2,1659-10-29,1769-10-01
"Vila Rica, Ouro Preto, Brasil",2,1752-10-01,1763-10-01
"Vila Seca, Coimbra",2,1763-10-01,1824-10-06
Vila Soeiro,2,1594-10-11,1746-10-01
"Vila da Povoação, Ponta Delgada",2,1897-10-15,1909-10-02
"Vila da Povoação, Ponta Delgada, Açores",2,1907-10-02,1907-10-15
"Vila das Lages, Ilha do Pico",2,1767-10-01,1852-10-30
Vila de Eiras,2,1763-10-01,1781-10-00
Vila de Foz Côa,2,1702-10-01,1704-04-12
Vila de Monsarros,2,1709-04-12,1741-10-01
Vila de Santos,2,1741-11-01,1797-10-19
"Vila do Bispo, Faro",2,1899-10-14,1908-10-15
"Vila do Casal, Guarda",2,1798-00-00,1801-07-08
"Vila do Porto, Ilha de Santa Maria, Açores",2,1894-10-31,1906-10-06
"Vila do Porto, Ponta Delgada, Açores",2,1905-10-03,1906-10-02
Vilar Formoso,2,1758-10-01,1864-10-14
Vilar de Amargo,2,1737-12-16,1751-10-01
Vilar de Ferreiros,2,1707-10-20,1763-10-01
Vilar de Fonte Arcada,2,1577-02-04,1748-10-01
Vilar do Paraiso,2,1708-10-01,1903-10-09
Vilar do Pinheiro,2,1738-10-01,1902-10-04
"Vilar, Braga",2,1841-10-25,1906-10-08
"Vilar, Fonte Arcada",2,1746-10-01,1762-12-15
"Vilar, Viseu",2,1742-01-02,1797-10-13
"Vilares, Baião",2,1761-10-01,1761-10-01
Vilarinho de Castanheira,2,1608-10-13,1744-01-26
Vilarinho de Cotas,2,1853-10-05,1904-10-07
Vilarinho de Eiras,2,1705-11-03,1758-10-01
Vilarinho de Lousã,2,1752-10-01,1756-10-01
Vilarinho de Piães,2,1706-10-01,1715-10-10
Vilartão,2,1764-10-01,1765-10-01
"Vimieiro, Alcobaça",2,1740-10-01,1744-01-18
"Vinhal, Viseu",2,1762-12-15,1763-10-01
"Viseu, Mortágua",2,1735-10-24,1776-11-29
Várzea da Serra,2,1749-10-01,1753-10-01
Várzea de Cavalos,2,1744-01-00,1762-10-01
"Várzea, Santarém",2,1765-10-01,1900-10-15
"Várzea, Viseu",2,1770-10-01,1804-10-04
"Zebreira, Idanha-a-Nova",2,1900-10-03,1903-10-03
Zouparia do Campo,2,1765-12-01,1786-10-05
de,2,1701-10-01,1712-10-01
Água Nevada,2,1740-10-01,1757-10-01
"Évora, Alcobaça",2,1723-10-01,1765-10-01
"Évora, Coutos de Alcobaça",2,1741-10-01,1744-01-25
"Índia, Goa",2,1550-10-10,1686-12-01
- Lisboa,1,1658-10-02,1658-10-02
- Vila Franca,1,1658-10-01,1658-10-01
-Lisboa,1,1723-10-01,1723-10-01
"A de Barros, Caria",1,1765-10-01,1765-10-01
"A de Barros, Lamego",1,1624-10-10,1624-10-10
A dos Francos,1,1745-10-01,1745-10-01
"ALgaça, Poiares",1,1751-10-01,1751-10-01
AZagães,1,1749-10-01,1749-10-01
Abade,1,1747-12-14,1747-12-14
Abade de São Romão,1,1540-01-10,1540-01-10
Abadia de São Pedro da Ericeira,1,1734-10-01,1734-10-01
"Abadia, Leiria",1,1839-07-20,1839-07-20
Abambres de Mateus,1,1764-10-01,1764-10-01
"Abarelhos, Vila do Conde",1,1759-05-10,1759-05-10
Abegoaria,1,1771-05-23,1771-05-23
Abeguaria,1,1729-11-24,1729-11-24
"Abiguaria, Arronches",1,1756-10-01,1756-10-01
Abilheira,1,1821-11-07,1821-11-07
"Abitureiras, Santarém",1,1768-10-01,1768-10-01
Abituteiras,1,1765-10-01,1765-10-01
Aboboreira,1,1765-10-01,1765-10-01
Aboim de Nóbrega,1,1765-10-01,1765-10-01
"Abol, Penafiel",1,1767-10-01,1767-10-01
Aboreira,1,1765-10-01,1765-10-01
"Abrambes, Vila Real",1,1882-10-13,1882-10-13
Abrambres,1,1763-10-01,1763-10-01
Abranches,1,1758-05-22,1758-05-22
Abranches do Guardão,1,1669-10-17,1669-10-17
Abrantes do Guardão,1,1668-10-17,1668-10-17
Abraveia de Poiares,1,1875-10-09,1875-10-09
Abraveses,1,1744-10-01,1744-10-01
Abreiro,1,1741-10-01,1741-10-01
"Abreiro, Mirandela",1,1895-10-14,1895-10-14
Abrote,1,1735-10-01,1735-10-01
Abrulhosa,1,1770-10-01,1770-10-01
Abrunhais,1,1697-10-01,1697-10-01
"Abrunhais, Lamego",1,1765-10-01,1765-10-01
Abrunhosa Velha,1,1755-10-01,1755-10-01
Abrunhosa do Ladário,1,1758-11-27,1758-11-27
Abrunhosa do Mato,1,1899-10-09,1899-10-09
"Abrunhosa, Viseu",1,1789-10-24,1789-10-24
Abrunhós,1,1741-07-17,1741-07-17
"Abôl, Porto",1,1638-10-27,1638-10-27
Achada,1,1890-10-15,1890-10-15
"Acheda, Guimarães",1,1768-10-01,1768-10-01
"Acos, Matrículas nº 23, fl 159 v",1,1763-10-01,1763-10-01
Adaufe,1,1590-12-14,1590-12-14
"Adaufe, Braga",1,1894-10-26,1894-10-26
"Ade, Almeida",1,1758-10-01,1758-10-01
Adegavinha,1,1750-10-01,1750-10-01
Adeia Galega,1,1696-10-01,1696-10-01
Adem,1,1709-10-01,1709-10-01
"Adem, Trancoso",1,1804-10-02,1804-10-02
Adolhalvo,1,1746-10-01,1746-10-01
"Adoufe, Vila Real",1,1765-10-01,1765-10-01
"Adro, Santo André de Poiares",1,1804-10-02,1804-10-02
Adrufe,1,1752-10-01,1752-10-01
Adães,1,1725-10-01,1725-10-01
"Adães, Bragança",1,1798-10-30,1798-10-30
"Adães, Chaves",1,1791-10-12,1791-10-12
Adémia,1,1589-10-31,1589-10-31
Adémia de Baixo,1,1868-10-13,1868-10-13
Afianha,1,1673-10-15,1673-10-15
Afife,1,1763-10-01,1763-10-01
"Agarez, Vila Real",1,1766-10-01,1766-10-01
Agilde,1,1841-10-02,1841-10-02
"Agilde, Celorico de Basto",1,1888-06-07,1888-06-07
Agostinho de Santo António,1,1611-10-01,1611-10-01
Agrabom,1,1761-10-01,1761-10-01
"Agrela, Santo Tirso",1,1887-10-03,1887-10-03
"Agrelos, Baião",1,1906-10-02,1906-10-02
"Aguada de Cima, Águeda",1,1891-10-20,1891-10-20
"Aguda, Cinco Vilas",1,1798-00-00,1798-00-00
Aguiar de Penedono,1,1688-11-01,1688-11-01
"Aguiar, Dornes",1,1789-10-31,1789-10-31
"Aguiar, Vila Real",1,1643-10-21,1643-10-21
"Aguieira, Carvalhal, Guarda",1,1837-10-31,1837-10-31
"Aguieira, Viseu",1,1768-10-01,1768-10-01
Aguilar do Campo das Montanhas de Castila,1,1556-04-00,1556-04-00
Aguilon de Aragão,1,1553-02-10,1553-02-10
"Aguim, Coimbra",1,1783-10-24,1783-10-24
"Aguim, Tamengos",1,1846-11-11,1846-11-11
Aguiã,1,1696-10-01,1696-10-01
Aguáda,1,1560-10-01,1560-10-01
"Airas, Aveiro",1,1850-10-04,1850-10-04
Airães,1,1856-10-15,1856-10-15
Ajuieira,1,1729-10-01,1729-10-01
"Alagoa, Brasil",1,1806-07-10,1806-07-10
"Alagoa, Pernambuco, Brasil",1,1779-10-30,1779-10-30
Alagoas,1,1725-10-01,1725-10-01
"Alagoas, Baía, Brasil",1,1731-02-15,1731-02-15
"Alagoas, Brasil",1,1802-10-02,1802-10-02
"Alagoas, Pernambuco",1,1802-10-16,1802-10-16
Alagôa da Ribeira de Pera,1,1764-10-01,1764-10-01
"Alagôa, Brasil",1,1719-10-01,1719-10-01
"Alagôa, Coimbra",1,1760-10-01,1760-10-01
"Alagôa, Ilha de São Miguel",1,1853-07-09,1853-07-09
Alavarelhos,1,1705-10-01,1705-10-01
Albarrol,1,1843-10-23,1843-10-23
Albarros,1,1747-10-01,1747-10-01
"Albassas, Vila Real",1,1767-10-01,1767-10-01
"Albergaria, Coimbra",1,1807-10-13,1807-10-13
"Albergaria, Penela",1,1767-10-01,1767-10-01
"Albergaria, a- Velha",1,1708-10-01,1708-10-01
Albergaria-a Velha,1,1752-11-06,1752-11-06
Albergaria-a-Nova,1,1761-01-30,1761-01-30
Albergaria-a-velha,1,1640-10-05,1640-10-05
Albernoa,1,1905-10-07,1905-10-07
Albitureiras,1,1765-10-01,1765-10-01
Albjubarrota,1,1715-11-06,1715-11-06
Alborninha,1,1722-11-09,1722-11-09
Alburitel,1,1763-11-01,1763-11-01
Alcabideche,1,1758-10-01,1758-10-01
Alcacer,1,1604-10-05,1604-10-05
Alcacer do Sal,1,1792-10-31,1792-10-31
Alcacér do Sal,1,1743-10-01,1743-10-01
Alcafoche,1,1743-10-01,1743-10-01
Alcaim,1,1842-10-05,1842-10-05
Alcalamoque,1,1736-12-12,1736-12-12
"Alcanena, Torres Novas",1,1730-10-01,1730-10-01
Alcanhões,1,1749-10-01,1749-10-01
Alcaravela,1,1888-10-06,1888-10-06
"Alcaravela, ?, Soudral",1,1769-12-01,1769-12-01
"Alcaravela, Santarém",1,1876-10-13,1876-10-13
"Alcaravela, Sardoal",1,1909-10-02,1909-10-02
"Alcaraz de La Mancha, Aragão, Espanha",1,1554-10-00,1554-10-00
Alcaria Ruiva,1,1902-10-04,1902-10-04
"Alcaria, Guarda",1,1761-12-30,1761-12-30
Alcario,1,1764-10-01,1764-10-01
Alcaçer do Sal,1,1638-10-12,1638-10-12
Alcaçovas,1,1753-10-01,1753-10-01
"Alcobaça, Landal",1,1790-10-31,1790-10-31
"Alcobaça, Évora Coutos de",1,1677-10-01,1677-10-01
Alcoente,1,1669-10-17,1669-10-17
Alcoentros,1,1724-10-01,1724-10-01
Alcofora,1,1730-10-30,1730-10-30
Alcofre,1,1747-10-01,1747-10-01
Alconchel,1,1588-02-16,1588-02-16
"Alconchel, Castela",1,1554-12-01,1554-12-01
Alcorochel,1,1750-10-01,1750-10-01
"Alcorochel, Torres Novas",1,1777-00-00,1777-00-00
"Alcouce, Vila Seca",1,1684-10-01,1684-10-01
Alcozelo da Torre,1,1745-10-01,1745-10-01
"Alcácer do Sal, Setúbal",1,1566-10-01,1566-10-01
Alcácer-do-Sal,1,1652-10-14,1652-10-14
Alcáçovas ou Évora,1,1587-10-13,1587-10-13
"Alcântara, Espanha",1,1812-11-18,1812-11-18
"Alcântara, São Luís do Maranhão, Brasil",1,1818-12-23,1818-12-23
Alcântra,1,1798-10-01,1798-10-01
Aldegavinha,1,1731-10-01,1731-10-01
Aldeia Galega da Merceana,1,1740-10-01,1740-10-01
Aldeia Galega de Merciana,1,1696-10-01,1696-10-01
"Aldeia Galega, Alenquer",1,1689-10-01,1689-10-01
"Aldeia Galega, Marciana",1,1578-10-30,1578-10-30
"Aldeia Galega, Merciana",1,1583-00-00,1583-00-00
Aldeia Gavinha de Merceana,1,1658-11-13,1658-11-13
Aldeia Nossa do Cabo,1,1797-10-00,1797-10-00
Aldeia Nova de Pombeiro,1,1871-10-14,1871-10-14
Aldeia Nova do Calvo,1,1806-10-20,1806-10-20
"Aldeia Nova, Coimbra",1,1852-10-20,1852-10-20
"Aldeia Nova, Covilhã",1,1563-10-01,1563-10-01
"Aldeia Nova, Pombeiro",1,1856-10-16,1856-10-16
"Aldeia Nova, Serpa",1,1801-10-02,1801-10-02
"Aldeia Nova, Trancoso",1,1906-10-02,1906-10-02
Aldeia Rica,1,1755-10-01,1755-10-01
Aldeia da Dez,1,1872-10-15,1872-10-15
"Aldeia da Serra, Seia",1,1763-10-01,1763-10-01
Aldeia das Carreiras,1,1727-10-29,1727-10-29
Aldeia de Baixo,1,1746-05-02,1746-05-02
Aldeia de Cabo,1,1752-11-01,1752-11-01
Aldeia de Cima,1,1706-12-12,1706-12-12
"Aldeia de Joanes, Covilhã",1,1538-00-00,1538-00-00
"Aldeia de João Pires, Penamacor",1,1857-10-02,1857-10-02
Aldeia de João de Pires,1,1837-10-24,1837-10-24
"Aldeia de Santa Margarida, Castelo Branco",1,1882-10-14,1882-10-14
Aldeia de Santo António,1,1871-10-14,1871-10-14
Aldeia de Sendim,1,1895-10-22,1895-10-22
"Aldeia de São Cosme, Guarda",1,1909-10-26,1909-10-26
Aldeia de São Manços,1,1726-10-01,1726-10-01
"Aldeia de São Miguel, Guarda",1,1864-10-04,1864-10-04
Aldeia de Valhascos,1,1887-10-14,1887-10-14
Aldeia do Alcaide,1,1626-03-27,1626-03-27
Aldeia do Bofinho,1,1747-12-16,1747-12-16
Aldeia do Cruz,1,1729-10-01,1729-10-01
"Aldeia do Mato, Covilhã",1,1894-10-11,1894-10-11
Aldeia do Ouro,1,1744-10-01,1744-10-01
Aldeia do Rato,1,1673-10-21,1673-10-21
Aldeia dos Redondos,1,1756-10-01,1756-10-01
"Aldeia, Baía, Brasil",1,1819-10-16,1819-10-16
"Aldeia, Matrículas nº 77, fl 44",1,1758-01-13,1758-01-13
"Aldeia, Viana do Castelo",1,1853-10-05,1853-10-05
Aldeias,1,1852-10-09,1852-10-09
"Aldeis, Armamar",1,1734-10-01,1734-10-01
Aldoar,1,1770-10-01,1770-10-01
Aldoná de Bardez,1,1844-10-14,1844-10-14
"Alegrete, Portalegre",1,1790-10-06,1790-10-06
Alendroal,1,1740-01-17,1740-01-17
"Alentém, Santarém",1,1892-10-14,1892-10-14
Alerigo,1,1816-10-31,1816-10-31
"Alfafar, Penela",1,1891-10-02,1891-10-02
Alfaião,1,1745-11-23,1745-11-23
Alfama,1,1740-07-31,1740-07-31
Alfandega,1,1653-10-15,1653-10-15
Alfarela de Jales,1,1695-11-02,1695-11-02
Alfazeirão,1,1742-01-15,1742-01-15
Alfelas,1,1701-10-13,1701-10-13
"Alforge, Matrículas nº 83, fl 156v",1,1771-05-03,1771-05-03
Alfundão,1,1871-10-13,1871-10-13
Alfândega-da-Fé,1,1678-01-31,1678-01-31
"Algarve, Lagoa",1,1589-11-03,1589-11-03
"Algarve, São Brás",1,1755-10-01,1755-10-01
"Algarve, Vila Nova de Portimão",1,1596-10-01,1596-10-01
Algas,1,1755-10-29,1755-10-29
"Alge, Campelo",1,1759-10-01,1759-10-01
"Algeraz, Nisa",1,1766-10-01,1766-10-01
"Algeris, Coimbra",1,1756-11-19,1756-11-19
"Algiras, Viseu",1,1764-10-01,1764-10-01
"Algodres, Guarda",1,1855-10-15,1855-10-15
Algor,1,1891-10-13,1891-10-13
"Algor, Faro",1,1855-10-03,1855-10-03
"Algoso, Faro",1,1863-10-11,1863-10-11
"Algoso, Vimieiro",1,1695-10-01,1695-10-01
Algôso,1,1727-10-01,1727-10-01
Alhaes,1,1765-10-01,1765-10-01
Alhais,1,1729-10-01,1729-10-01
"Alhais, Lamego",1,1764-10-01,1764-10-01
Alhastro,1,1715-12-20,1715-12-20
"Alheira, Barcelos",1,1765-10-01,1765-10-01
"Alife, Viana",1,1840-10-31,1840-10-31
Alja,1,1848-10-16,1848-10-16
"Alja, Miranda do Corvo",1,1762-12-15,1762-12-15
Aljarede,1,1740-10-01,1740-10-01
Aljo,1,1751-10-01,1751-10-01
"Aljubarrota, Alcobaça",1,1780-11-07,1780-11-07
"Allitas, Navarra",1,1548-10-01,1548-10-01
Almaceda,1,1763-10-01,1763-10-01
Almalaguer,1,1649-10-05,1649-10-05
Almalaguez,1,1701-10-01,1701-10-01
Almarge do Bispo,1,1728-10-01,1728-10-01
"Almarge, Lisboa",1,1836-10-05,1836-10-05
Almarinha,1,1762-10-01,1762-10-01
"Almarinha, Mortágua",1,1769-10-01,1769-10-01
Almassa,1,1871-06-20,1871-06-20
Almeara,1,1590-11-02,1590-11-02
"Almeida, Fundão",1,1671-03-20,1671-03-20
Almeidra,1,1593-10-01,1593-10-01
Almiara,1,1705-10-26,1705-10-26
Almieira,1,1682-12-14,1682-12-14
"Almieira, Nisa",1,1905-10-10,1905-10-10
Almofala de Baixo,1,1909-10-14,1909-10-14
Almofala de Cima,1,1777-10-05,1777-10-05
"Almoster, Quinta da Sarzeda",1,1730-10-01,1730-10-01
Almostér,1,1759-10-01,1759-10-01
Alpalhão ou Obelhão,1,1642-10-15,1642-10-15
"Alpalhão, Alentejo",1,1651-10-20,1651-10-20
Alperdinha,1,1692-10-01,1692-10-01
Alqueidão das Olalhas,1,1656-04-24,1656-04-24
Alqueidão das Pias,1,1877-10-12,1877-10-12
Alqueidão de Olalhas,1,1790-10-30,1790-10-30
Alqueidão de Pussos,1,1735-10-01,1735-10-01
Alqueidão de Sirol,1,1765-10-01,1765-10-01
Alqueidão de Ílhavo,1,1683-10-01,1683-10-01
"Alqueidão, Leiria",1,1765-10-01,1765-10-01
"Alqueidão, Olhadas",1,1786-10-14,1786-10-14
"Alqueidão, Paião",1,1756-10-01,1756-10-01
"Alqueidão, Palma",1,1732-10-01,1732-10-01
"Alqueidão, Pias",1,1765-10-01,1765-10-01
"Alqueidão, Ílhavo",1,1766-10-01,1766-10-01
Alquer,1,1691-10-01,1691-10-01
Alravezes,1,1909-10-07,1909-10-07
"Alrote, Gouveia",1,1765-10-01,1765-10-01
Alte,1,1733-10-01,1733-10-01
Alter,1,1601-10-23,1601-10-23
Alturas,1,1701-10-01,1701-10-01
"Alva, Beja",1,1813-10-08,1813-10-08
"Alva, Castro D'Aire",1,1914-10-24,1914-10-24
"Alvados, Porto de Mós",1,1764-10-01,1764-10-01
"Alvaiázere, Ansião",1,1651-03-18,1651-03-18
"Alvaiázere, Tomar",1,1745-10-01,1745-10-01
Alvarelhos de Tábua,1,1798-10-06,1798-10-06
"Alvarelhos, Monforte",1,1741-02-09,1741-02-09
"Alvarelhos, Viseu",1,1784-10-19,1784-10-19
Alvarelos,1,1842-10-31,1842-10-31
Alvares de Cima,1,1731-10-01,1731-10-01
"Alvares, Moncorvo",1,1766-10-01,1766-10-01
"Alvares, Tomar",1,1791-10-26,1791-10-26
"Alvares, Viseu",1,1854-10-14,1854-10-14
Alvarções do Corgo,1,1804-11-19,1804-11-19
Alvaso,1,1664-03-14,1664-03-14
Alvações,1,1806-10-29,1806-10-29
Alvações de Tanha,1,1574-10-08,1574-10-08
Alvações do Corjo,1,1768-10-01,1768-10-01
Alvações do Corvo,1,1793-10-30,1793-10-30
Alveleda,1,1765-10-01,1765-10-01
"Alvelos, Moncorvo",1,1779-10-26,1779-10-26
Alvendre,1,1746-10-01,1746-10-01
Alverca da Beira,1,1908-10-02,1908-10-02
"Alverca, Troncoso",1,1773-11-12,1773-11-12
Alverga,1,1651-10-06,1651-10-06
"Alvito Salvada, Beja",1,1758-10-01,1758-10-01
Alviães,1,1707-10-22,1707-10-22
Alvoco,1,1596-10-14,1596-10-14
Alvoco da Várzea,1,1847-10-15,1847-10-15
"Alvoco, Várzeas",1,1796-10-15,1796-10-15
"Alvoeira, Viseu",1,1761-11-01,1761-11-01
Alvoreira,1,1763-10-01,1763-10-01
Alvorninho,1,1745-10-01,1745-10-01
Alvorninhos,1,1540-04-21,1540-04-21
Alváiazere,1,1764-10-01,1764-10-01
Alváres,1,1747-12-15,1747-12-15
"Alvão, Feira",1,1766-10-01,1766-10-01
Alvôco da Serra,1,1730-11-15,1730-11-15
Alvôco das Várzeas,1,1868-10-15,1868-10-15
Alvões,1,1570-11-16,1570-11-16
"Alçacova, Lisboa",1,1640-10-09,1640-10-09
Alçacovas,1,1677-04-03,1677-04-03
Amador da Cunha,1,1585-10-18,1585-10-18
Amante,1,1569-11-26,1569-11-26
Amaraleja,1,1906-10-08,1906-10-08
Amarante ou Basto,1,1634-10-19,1634-10-19
Amarante ou Santa Cruz,1,1628-10-11,1628-10-11
"Amarante, Basto",1,1634-10-23,1634-10-23
"Amarante, Porto",1,1716-10-26,1716-10-26
"Amarelos, Castelo Branco",1,1765-10-01,1765-10-01
"Amares, Braga",1,1838-10-31,1838-10-31
"Amares, Entre Homem e Cávado",1,1646-10-06,1646-10-06
Amazonas,1,1887-07-26,1887-07-26
Ambrais,1,1763-10-01,1763-10-01
