,wikidata,name,alias,bnp_id,naturalidade,placeID,longitude,latitude,birth_date,fauc_id
341,http://www.wikidata.org/entity/Q3187336,João de Barros,João de barros (1881),12867,Figueira da Foz,http://www.wikidata.org/entity/Q428459,-8.86179,40.15085,1881-02-04,151823
345,http://www.wikidata.org/entity/Q3187336,João de Barros,João de barros (1881-1960),12867,Figueira da Foz,http://www.wikidata.org/entity/Q428459,-8.86179,40.15085,1881-02-04,
130,http://www.wikidata.org/entity/Q730029,João de Brito,João Heitor de Brito Pereira,64962,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1647-03-01,
799,http://www.wikidata.org/entity/Q1710223,João de Deus,João de Deus de Nogueira Ramos,51161,São Bartolomeu de Messines,http://www.wikidata.org/entity/Q2696039,-8.2905555555556,37.257777777778,1830-03-08,133827
800,http://www.wikidata.org/entity/Q1710223,João de Deus,João de Deus de Nogueira Ramos,51161,São Bartolomeu de Messines,http://www.wikidata.org/entity/Q2696039,-8.2905555555556,37.257777777778,1830-03-08,
190,http://www.wikidata.org/entity/Q6298461,João de Lemos,,131479,Peso da Régua,http://www.wikidata.org/entity/Q757858,-7.789014,41.163176,1819-05-06,189637
241,http://www.wikidata.org/entity/Q47035009,João de Sande Magalhães Mexia Ayres de Campos,2º Conde do Ameal,,Coimbra,http://www.wikidata.org/entity/Q45412,-8.4288888888889,40.211111111111,1877-05-11,
325,http://www.wikidata.org/entity/Q3735496,João de Santo Tomás,,794054,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1589-07-09,
105,http://www.wikidata.org/entity/Q6298468,"João de Sousa, Marquês das Minas","João de sousa, marquês das minas",,Viana do Castelo,http://www.wikidata.org/entity/Q208158,-8.8333333333333,41.7,1666-12-29,
664,http://www.wikidata.org/entity/Q10313176,Justino António de Freitas,,116712,Funchal,http://www.wikidata.org/entity/Q25444,-16.916666666667,32.65,1804-09-13,167725
66,http://www.wikidata.org/entity/Q9016861,Juvenal de Araújo,Juvenal Henriques de Araújo,853810,Funchal,http://www.wikidata.org/entity/Q25444,-16.916666666667,32.65,1892-11-21,147720
89,http://www.wikidata.org/entity/Q9016861,Juvenal de Araújo,Juvenal de araújo,853810,Funchal,http://www.wikidata.org/entity/Q25444,-16.916666666667,32.65,1892-11-21,
271,http://www.wikidata.org/entity/Q5396407,Júlio Augusto Henriques,,284733,Arco de Baúlhe,http://www.wikidata.org/entity/Q637606,-7.9666666666667,41.483333333333,1838-01-15,
682,http://www.wikidata.org/entity/Q10313421,Júlio Ernesto de Lima Duque,Júlio Ernesto Lima Duque,,Chancelaria,http://www.wikidata.org/entity/Q1061652,-8.5533333333333,39.553055555556,1859-08-11,
608,http://www.wikidata.org/entity/Q10313493,Júlio de Castilho,Júlio de castilho,41657,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1840-04-30,
8,http://www.wikidata.org/entity/Q85239377,Leonel Tavares Cabral,,190731,Coimbra,http://www.wikidata.org/entity/Q45412,-8.4288888888889,40.211111111111,1790-02-09,128838
0,http://www.wikidata.org/entity/Q94850304,Levy Maria Jordão,Levy Maria Jordão de Paiva Manso,54707,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1831-01-09,193376
1,http://www.wikidata.org/entity/Q94850304,Levy Maria Jordão,Levy Maria Jordão de Paiva Manso,54707,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1831-01-09,
828,http://www.wikidata.org/entity/Q25439209,Licínio Pinto Leite,,,Porto,http://www.wikidata.org/entity/Q36433,-8.6107777777778,41.149472222222,1844-06-10,211145
455,http://www.wikidata.org/entity/Q110910878,Lourenço António de Carvalho,,,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1837-02-27,157146
630,http://www.wikidata.org/entity/Q10320191,Lucas Antônio Monteiro de Barros,Lucas Antonio Monteiro de Barros,,Congonhas,http://www.wikidata.org/entity/Q275654,-43.857777777778,-20.5,1767-10-15,
157,http://www.wikidata.org/entity/Q56072432,Luciano António Pereira da Silva,,43290,Caminha,http://www.wikidata.org/entity/Q1029544,-8.8333333333333,41.833333333333,1864-11-21,228499
349,http://www.wikidata.org/entity/Q42306335,Luiz de Andrade,Luís de Andrade,,Recife,http://www.wikidata.org/entity/Q48344,-34.880833333333,-8.0538888888889,1849-11-20,
761,http://www.wikidata.org/entity/Q20045977,Luís António de Abreu e Lima,,35694,Viana do Castelo,http://www.wikidata.org/entity/Q208158,-8.8333333333333,41.7,1787-10-18,225650
579,http://www.wikidata.org/entity/Q10321293,Luís Augusto Rebelo da Silva,Luis Augusto Rebelo da Silva,83588,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1822-04-02,228586
567,http://www.wikidata.org/entity/Q10321293,Luís Augusto Rebelo da Silva,Rebello da Silva,83588,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1822-04-02,
578,http://www.wikidata.org/entity/Q10321315,Luís Bettencourt de Medeiros e Câmara,Luís Bettencourt,,Ponta Delgada,http://www.wikidata.org/entity/Q208149,-25.67,37.74,1873-02-21,130231
534,http://www.wikidata.org/entity/Q10321315,Luís Bettencourt de Medeiros e Câmara,Luís de Bettencourt de Medeiros e Câmara,,Ponta Delgada,http://www.wikidata.org/entity/Q208149,-25.67,37.74,1873-02-21,
565,http://www.wikidata.org/entity/Q10321427,Luís Ferreira de Figueiredo,Eugénia Maria Viana Ferreira de Melo Lemos e Alvelos,,Reino de Portugal,http://www.wikidata.org/entity/Q45670,-9.18333333,38.7,1847-05-05,
566,http://www.wikidata.org/entity/Q10321510,Luís José de Carvalho e Melo,,,Bahia,http://www.wikidata.org/entity/Q40430,-41.69,-12.52,1764-05-06,
522,http://www.wikidata.org/entity/Q10321541,Luís Maria Lopes da Fonseca,,,Mata de Lobos,http://www.wikidata.org/entity/Q1668791,-6.88804,40.91691,1883-03-01,156621
529,http://www.wikidata.org/entity/Q10321541,Luís Maria Lopes da Fonseca,,,Mata de Lobos,http://www.wikidata.org/entity/Q1668791,-6.8994444444444,40.905555555556,1883-03-01,
523,http://www.wikidata.org/entity/Q10321713,Luís da Silva Ribeiro,,95880,Angra do Heroísmo,http://www.wikidata.org/entity/Q193677,-27.215277777778,38.655833333333,1882-12-04,165553
514,http://www.wikidata.org/entity/Q10321742,Luís de Figueiredo de Lemos,Luís de Figueiredo Lemos,,,,,,1544-08-31,
263,http://www.wikidata.org/entity/Q436077,Luís de Molina,Luis Molina,473456,Cuenca,http://www.wikidata.org/entity/Q15098,-2.135,40.071666666667,1535-09-29,
516,http://www.wikidata.org/entity/Q10321782,Luís de Sousa e Holstein,,,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1868-02-08,190222
391,http://www.wikidata.org/entity/Q3286741,Manuel Alves Branco,Alves Branco,,Maragogipe,http://www.wikidata.org/entity/Q1761467,-38.918888888889,-12.777777777778,1797-06-07,
115,http://www.wikidata.org/entity/Q6752403,Manuel António Lino,Manuel antónio lino,,Angra do Heroísmo,http://www.wikidata.org/entity/Q193677,-27.215277777778,38.655833333333,1865-01-04,
590,http://www.wikidata.org/entity/Q10323948,Manuel António de Carvalho,,,Mirandela,http://www.wikidata.org/entity/Q551502,-7.1833333333333,41.483333333333,1785-05-31,157937
168,http://www.wikidata.org/entity/Q61755108,Manuel Augusto Martins,,,Santa Maria Maior,http://www.wikidata.org/entity/Q2078801,-16.89468,32.64886,1867-04-10,
109,http://www.wikidata.org/entity/Q687473,Manuel Bernardes,,13155,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1644-08-20,185507
110,http://www.wikidata.org/entity/Q687473,Manuel Bernardes,,1418331,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1644-08-20,
593,http://www.wikidata.org/entity/Q10324011,Manuel Bernardo Borges de Azevedo Enes,Manuel bernardo borges de azevedo enes,,Topo (Nossa Senhora do Rosário),http://www.wikidata.org/entity/Q2186437,-27.7675,38.549166666667,1856-03-13,
585,http://www.wikidata.org/entity/Q10324018,Manuel Borges Carneiro,Borges Carneiro,131119,Resende,http://www.wikidata.org/entity/Q863692,-7.95,41.1,1774-11-02,139641
592,http://www.wikidata.org/entity/Q10324018,Manuel Borges Carneiro,Borges carneiro,131119,Resende,http://www.wikidata.org/entity/Q863692,-7.95,41.1,1774-11-02,
