bnp_id,name_bn,date_bn,qualification,bnp_id,fauc_id
1744998,Bento José Barroso,18--,,1744998,
1745002,Artur E. das Neves Barreira,18--,,1745002,
1745011,José de Jesus Maria,"1650,",O.C.D.,1745011,
1745072,Maria de Mascarenhas Barreto,1823-1914,"Condessa de Sarmento,",1745072,
1745088,Veríssimo de Santa Margarida,17--,,1745088,
1745102,Caetano de Santa Maria Pinheiro,17--,,1745102,
1745391,Carlos Pinto Lopes de Oliveira,18---19--,,1745391,
1745495,António Ferreira Piedade,1885-1944,,1745495,
1745632,Vasco Pereira de Matos Preto,18---1922,,1745632,
1745640,Luís Joaquim do Cais,1881-1962,,1745640,
1745804,Joaquim Vieira Botelho da Costa Júnior,1872-1925,,1745804,
1745811,Bernardo de Alpoim de Cerqueira Borges Cabral,1883-1911,,1745811,
1745816,"Egas de Alpoim de Cerqueira Borges,  Cabral",1884-1921,,1745816,
1745822,Joaquim Henriques Pereira de Faria Saldanha e Lencastre,1880-1955,,1745822,
1745895,Manuel Maria Correia,18--,,1745895,
1745918,Abílio Afonso da Silva Monteiro,1812-1890,,1745918,
1746035,Joaquim Gonçalves Mamede,1818-1880,,1746035,
1746063,António Egípcio Quaresma de Carvalho Lopes de Vasconcelos,1819-1911,,1746063,
1746071,Armando Carlos de Sousa Babo,18---19--,,1746071,
1746109,António Gonçalves da Silva e Cunha,1821-1897,,1746109,
1746149,Manuel Arriaga Nunes,1843-1894,,1746149,
1746153,Joaquim Correia da Costa,18---19--,,1746153,
1746166,Francisco Eusébio Lourenço de Leão,1864-1926,,1746166,
1746169,Abel Alcântara Alves Valadares,18---19--,,1746169,
1746275,José Maria Pereira,18---19--,,1746275,
1746422,A. J. Judice Cabral,18--,,1746422,
1746423,F. V. de Mendonça Corte-Real,18--,,1746423,
1746499,José Alberto Pereira de Carvalho,18--,,1746499,
1746537,José Gomes,18--,,1746537,
1746543,Jaime Ribeiro,18--,,1746543,
1746581,João Baptista Brás Júnior,18--,,1746581,
1746615,M. J. Forbes da Costa,18--,,1746615,
1746618,João Lopes Nunes Vieira da Silva,18--,,1746618,
1746623,Elisário Luís Monteiro,18--,,1746623,
1746655,Ricardo Garcia,18--,,1746655,
1746656,Armando Chaves,18--,,1746656,
1746662,Furtado de Antas,18--,,1746662,
1746679,João Alvares Pereira Carneiro Leal,18--,,1746679,
1746848,Augusto de Mira Leal,1897-1955,,1746848,
1746861,Faria Magalhães,18--,,1746861,
1746871,Mascarenhas Gregório,1847-1922,,1746871,
1746874,A. d'Almeida Rocha,18--,,1746874,
1746884,Ernesto Garcês de Lencastre,1877-1935,,1746884,
1746895,Domingos Leonardo Vieira,1840-1883,,1746895,
1747291,Narciso Alfredo de Morais,1892-1977,,1747291,
1747432,Manuel José da Silva,1892-1935,,1747432,
1747641,Valmor,1837-1898,"Visconde de,",1747641,
1748286,Laurinda C. Andrade,1899-1980,,1748286,
1748337,Teotónio José de Paiva,1780-1798,,1748337,
1748846,Columbano Líbano Monteiro,1896-1974,,1748846,
1749236,Manuel Lopes,17--,,1749236,
